id	c0r1	c0r2	c0r3	c0r4	c1r1	c1r2	c1r3	c1r4	i	i	i	i	i	i	i	i
14	0.983924	1.396391	0.700454	1.068587	2.293246	1.657423	3.051162	3.763031	2.072118	2.579073	5.053101	2.950680	8.124851	5.612252	6.976356	7.053549
15	0.703438	0.614300	0.780573	0.837230	2.879735	1.705466	1.659079	2.296742	3.418408	3.213394	3.203492	3.410376	7.131182	6.500868	6.149948	5.603281
16	0.522519	0.691401	0.821899	0.621992	3.041075	3.835084	1.340165	4.097825	4.668152	5.367565	2.690940	3.798681	5.139459	6.867447	7.023699	5.143717
17	0.282136	1.052785	1.308106	1.496594	2.105414	4.772099	4.559896	2.565568	4.652400	1.742808	2.647593	2.397159	9.281098	6.105568	9.288380	9.445184
18	0.952487	1.464866	0.740138	1.306270	4.115023	1.965478	1.590039	3.940417	2.680665	4.449262	4.179598	4.202434	5.864242	4.844079	4.511140	4.449395
19	0.605003	1.115939	0.702580	1.610197	3.133801	1.667781	5.251273	3.337848	2.994765	5.104745	2.200203	3.475907	8.851876	5.756668	6.083470	1.339818
20	9.798921	9.824965	9.928343	9.964180	19.525652	19.672386	20.316908	20.815426	5.447166	5.130417	4.971006	5.135840	12.462843	25.050524	18.675154	25.507927
21	9.605424	9.577663	10.288649	10.367959	20.07884	16.543272	20.086939	19.619226	5.561123	4.459511	5.053290	4.178995	24.531668	14.962049	25.020819	23.809227
22	9.235678	9.869148	11.844148	10.00106	24.806311	19.110344	25.126846	14.166136	3.883260	6.062078	5.649858	3.803429	7.008504	9.012651	9.773368	11.488735
23	10.679458	9.037494	9.617849	11.990414	16.385548	22.902586	26.988855	17.043596	4.550296	5.400363	4.063378	6.017868	10.517641	15.409986	12.680883	24.609816
24	10.398032	11.574834	10.250355	12.483849	14.081771	16.179852	15.592528	17.704954	5.862393	3.750332	3.937278	7.123276	9.379479	17.380484	16.400808	19.411354
25	8.720677	10.448679	10.261705	14.170529	22.515026	20.371304	9.496442	21.180901	4.252144	5.762001	5.076877	4.032807	22.85751	4.464377	27.399446	9.769232
26	11.948825	9.573043	10.787716	7.230910	26.132553	18.881321	25.609329	15.336326	5.852316	7.646814	3.163450	6.084787	9.610835	27.259928	8.619708	22.922827
27	15.765446	9.518579	12.842446	14.743098	17.558168	25.654659	24.963238	32.112022	2.574956	7.445333	6.316026	8.136076	22.013762	25.742477	20.854618	20.934681
28	10.342569	17.284792	14.393318	14.588351	33.997784	8.665775	18.596338	12.390448	2.859301	6.905771	7.070489	7.076423	18.286762	17.03636	6.256132	19.081507
29	7.363694	13.641303	10.221365	10.343873	15.981899	26.664354	35.298386	15.564128	2.738624	6.662428	6.601536	7.407036	9.972845	22.750849	15.256367	24.788803
30	9.843038	10.371655	10.43042	10.026849	13.881012	14.440519	15.219161	16.138674	36.912647	36.698078	34.74931	34.021328	20.778536	19.034657	20.623125	19.080933
31	9.914789	9.400753	10.186163	9.353564	17.638622	14.15948	15.559756	17.699574	37.424313	33.957249	34.240276	35.398502	17.918823	18.829014	23.151875	18.758614
32	9.397986	10.420396	10.176622	8.908373	15.420157	16.163845	11.544292	11.30725	35.843266	32.06002	31.510315	32.214134	19.876116	20.630274	20.127516	23.506096
33	9.123460	8.790254	9.835788	9.380573	11.787531	13.001142	11.613039	14.939955	34.840618	35.382042	37.73053	36.121773	15.27717	22.074194	21.406866	17.959991
34	7.952550	7.618940	7.803772	13.092453	18.331354	15.38131	15.31148	14.769146	27.844587	34.96579	28.776953	29.611946	21.881247	15.047209	23.387314	24.963959
35	14.289293	10.714418	12.458816	5.956993	22.262413	21.467949	5.742692	17.045593	36.94199	35.416214	35.255081	35.866928	16.571184	19.803627	21.983601	13.988676
36	11.366362	10.747345	11.444838	10.277841	6.678361	11.404757	18.772762	13.757197	36.356979	43.32407	42.52195	42.337811	13.61062	25.538996	18.241331	22.270498
37	9.194271	11.591567	6.066961	15.838864	15.884596	6.685128	15.371838	26.484846	30.445412	33.957649	35.710896	27.393873	10.80949	18.012838	13.763196	14.697853
38	6.661952	6.964145	10.424427	15.839375	13.365813	3.622694	2.907052	15.363021	42.203457	24.568377	37.451607	21.72995	26.907301	11.661681	11.735682	14.964811
39	4.985261	14.630369	8.637319	14.111155	29.170338	12.490049	10.36644	1.023962	35.553715	29.389059	41.093834	21.395185	28.112476	8.142139	19.114498	18.738569
40	20.729822	21.180571	20.884905	19.122778	47.968601	55.605038	50.528458	51.854561	45.332569	37.682049	48.356827	44.352264	43.997768	48.951038	49.237629	48.987823
41	22.173365	20.155935	19.533007	21.493078	44.095715	48.363911	49.844212	48.876675	37.561119	28.69442	40.281551	29.689892	57.600349	45.613937	55.59790	43.390839
42	17.910933	17.787697	14.742294	20.753416	46.794468	36.71719	57.491947	42.506458	40.885326	31.236814	42.93866	49.667999	52.421009	51.392677	32.922283	43.228127
43	21.255661	20.479155	27.803389	18.092026	52.647923	57.389988	52.137981	31.868025	26.766716	51.673985	29.337948	32.913967	44.467667	49.194649	61.905266	44.992702
44	14.987112	20.528416	28.147453	14.147947	65.019417	32.720531	68.478043	28.434792	31.373095	42.176041	33.150879	31.145105	68.620552	53.022434	67.851685	71.397377
45	20.600426	22.588356	27.284185	17.536526	50.015656	77.907112	44.613178	29.588823	17.325947	47.321751	56.23000	26.657124	60.088169	52.710033	37.135605	69.575653
46	8.241833	27.422535	14.309881	20.069151	49.805607	51.859638	46.489185	53.304089	11.055306	42.900723	71.619415	35.690952	32.344013	42.813465	64.67334	68.836212
47	20.430593	15.111668	21.100805	8.997161	39.936836	18.042925	60.372272	38.134838	11.482928	63.662544	25.483822	43.818268	20.009111	35.689201	31.501766	21.405071
48	14.344858	16.84807	31.849857	13.581442	25.715769	13.210042	29.087946	16.872959	33.779362	24.122627	33.055077	84.504089	29.798042	34.835911	85.707611	39.736996
49	9.681853	28.176626	16.09030	20.788544	9.939145	19.365408	14.334916	4.798743	22.359512	43.174305	38.66613	81.801193	65.990883	32.77924	31.268175	51.316086
50	5.966194	3.651793	5.494903	4.121228	6.872149	7.270185	4.920128	7.205935	5.170629	5.171027	4.161523	5.067065	6.314867	5.738499	4.460285	4.310423
51	0.543809	3.047145	5.300937	3.013457	5.830722	3.224548	2.400462	1.162324	3.108124	3.961057	2.473887	4.445759	4.919907	5.359686	4.320855	4.912231
52	31.634636	15.422709	21.61603	20.397116	18.875824	14.583985	19.433126	9.064631	7.740118	9.764682	33.56900	9.505741	17.556118	24.589401	26.549103	24.538183
53	3.573283	2.956368	3.574895	4.036476	3.219600	2.999012	2.627298	3.754233	3.265557	3.674329	3.012887	4.193070	3.720788	3.923117	4.242328	4.299809
54	10.300138	12.181607	8.282268	10.252282	8.552956	11.173804	10.84493	10.748686	12.909525	9.044520	8.089866	10.887193	8.712870	11.684617	10.211809	9.036059
55	6.554992	8.290776	5.931407	13.145146	12.028393	11.648065	13.118971	7.543865	9.562632	12.876171	10.617481	13.663674	13.773689	6.174367	14.187804	8.343904
56	20.209791	18.290764	14.216119	19.781216	14.726383	14.147249	14.048467	17.019148	19.024601	20.820282	14.665182	16.032324	17.572712	17.339005	16.601116	18.003521
57	4.477665	27.986094	33.248825	5.544472	5.218226	16.824553	27.250063	16.688107	22.007135	11.24856	15.244208	14.310045	32.71294	11.765053	4.610026	5.737167
58	9.444931	9.507872	8.738633	8.815021	8.104684	8.368288	9.530937	7.738131	8.448242	9.694864	8.695947	10.083649	8.668659	9.528616	8.291008	7.747242
59	0.101457	0.109272	0.067971	0.100707	0.100677	0.107681	0.074637	0.077879	0.096501	0.060668	0.099735	0.099359	0.095258	0.102453	0.101072	0.083616
60	9.461531	9.892601	8.796828	9.231437	8.992250	8.908185	9.701723	9.422748	7.261459	8.854103	9.196964	9.633804	9.234633	9.113332	8.323600	9.520645
61	0.195571	0.109376	0.428147	0.384701	0.121252	0.360149	0.107755	0.233695	0.287231	0.390326	0.303095	0.294928	0.405385	0.394149	0.144335	0.135256
62	9.126437	7.607845	4.13168	6.053997	3.175946	7.427341	3.993819	8.873529	8.672216	7.513767	8.52817	3.990722	7.911002	4.277138	3.551072	9.984849
63	7.816132	20.662104	8.002497	20.26392	18.059574	19.650274	19.842241	21.479721	11.254269	9.34061	21.707087	18.054089	20.95067	22.334185	17.201229	16.154251
64	3.687058	3.225244	2.647663	3.816992	3.939409	2.700655	3.236278	3.73192	3.752099	2.707923	3.451813	3.656326	3.523357	3.371718	2.688599	2.840856
65	3.544784	3.735017	5.218211	7.581745	3.896543	3.286545	6.497434	2.430804	5.810972	3.811375	6.483772	2.35731	4.625058	1.364057	5.214035	6.676279
66	6.152522	6.126952	6.566597	6.440016	6.669887	6.520854	6.903954	6.403229	6.530048	6.813424	6.636962	6.518943	6.118968	6.608257	6.434801	5.848253
67	9.998101	10.619817	10.638185	10.434843	10.121291	9.326826	10.16925	9.105955	9.926583	9.655047	10.724247	10.478743	9.354102	9.19883	9.668109	9.863725
68	4.170165	5.34942	5.171039	4.609582	4.487234	5.427323	5.196573	4.214633	4.862708	5.223383	4.922381	4.429064	5.02584	4.991345	4.699497	4.392997
69	1.006233	1.97664	1.457101	1.805198	1.959206	3.05583	1.602705	0.780489	3.300714	2.217744	1.56763	2.514362	1.848052	1.576226	0.299073	2.80591
70	4.998613	7.634873	6.441072	8.151727	5.853505	6.219328	8.828607	4.742176	6.952365	8.513901	6.378665	6.017605	7.240505	2.408823	7.828968	6.507029
71	5.75047	7.05599	6.573361	6.290801	6.624806	5.209034	6.450747	7.12838	6.604496	5.915218	5.869453	7.234118	6.862622	7.472112	5.330353	6.042503
72	17.137619	12.516348	11.919263	16.794931	15.857395	18.117271	15.232249	17.735666	15.843325	15.19596	13.56075	10.368755	15.410483	13.905073	14.99326	12.655282
73	0.565697	0.810816	1.038278	0.378577	0.148826	0.500743	0.842695	0.951445	0.73188	0.119639	0.177728	1.637055	0.401052	0.979187	0.223474	0.540136
74	28.631235	21.089252	21.33334	28.861948	27.214655	26.852812	23.174595	17.256136	21.236429	26.149368	29.357908	26.551746	25.028557	28.461308	26.673193	28.526224
75	25.424175	24.937481	27.253147	30.668558	30.194662	27.891233	36.184715	22.246225	31.417377	33.294083	31.142824	22.616852	32.421406	32.098434	22.829296	29.044533
76	28.562101	25.306971	22.350399	30.038717	19.508776	23.209089	26.672552	19.434107	26.257475	17.919468	26.769257	29.445618	17.849386	21.035156	28.894718	23.531214
77	21.622974	21.582422	16.04616	12.064273	17.461872	16.709127	12.194837	16.5147	13.180449	14.87026	12.937052	10.603273	12.681151	11.89355	20.601877	22.260157
78	8.857047	11.970726	10.23448	10.187291	5.796256	6.755325	10.207334	11.812263	8.161057	9.351285	10.985976	11.3517	7.989439	7.795892	5.688459	14.672953
79	22.728899	23.729847	23.98173	19.208509	19.730602	23.093868	21.116171	22.714825	19.726397	20.982256	21.27709	23.244648	21.580339	18.922894	21.177937	20.94779
80	14.511105	13.997179	14.271585	11.892836	14.071391	14.610914	13.683883	11.778514	14.902049	13.846906	13.274405	13.878703	13.68029	12.641064	12.418859	14.025501
81	1.939288	3.108081	1.001455	2.920435	2.863864	5.072324	3.795606	4.149953	4.553856	3.088434	1.9031	2.701578	3.636015	1.519496	2.348985	3.482691
82	4.095341	4.292382	3.715986	4.312563	4.297629	3.798515	3.825296	4.283546	4.110138	3.79327	3.809132	4.026316	4.304558	3.796931	3.617898	4.12875
83	4.945011	5.987397	5.62674	5.642029	5.68609	5.310764	4.511915	5.843268	5.175433	5.991586	4.385215	5.709529	4.427608	4.243601	5.259188	5.282005
84	6.43105	5.717494	6.4371	6.387084	6.653259	6.448681	6.199243	6.264347	6.145721	6.189939	6.217557	6.480827	5.907489	6.120838	6.262585	6.673017
85	7.12666	7.133776	7.189144	7.130332	7.170516	7.161854	7.162889	7.222712	7.117207	7.190693	7.102074	7.177892	7.101496	7.164495	7.072505	7.200171
86	8.62126	7.02759	6.629584	11.854145	9.154902	9.581777	11.554724	10.807396	6.03918	8.563543	4.052403	5.97514	9.215665	7.870147	7.932118	9.853977
87	4.049259	4.14998	4.327267	4.118376	3.942418	4.207452	4.280127	4.021419	3.366411	4.287127	2.785131	2.715957	3.949029	3.880839	3.312562	4.237383
88	32.935902	48.233265	54.476345	66.507294	60.403816	34.124012	58.836399	47.227558	58.479298	42.661446	46.493526	48.38792	56.273548	34.300072	57.045742	58.835255
89	10.244236	53.975224	23.25812	20.650049	36.126167	49.079296	20.870045	14.036759	14.862411	34.002518	53.179699	34.422718	31.515541	30.878307	21.52112	26.379906
90	5.100197	4.056011	5.174154	4.170155	4.2429	4.835953	4.759316	4.961434	4.141047	4.552694	4.943885	4.714397	4.304833	4.609696	4.902164	4.522292
91	5.028154	5.481422	5.761339	5.920184	5.379826	5.558946	4.941181	4.43642	6.295892	4.310824	6.295209	5.584577	5.784824	3.991947	4.502461	4.809859
92	6.246444	4.622674	6.021478	4.590846	4.731053	4.574844	6.804282	7.386632	6.416893	4.619567	4.661038	6.641108	7.395792	7.290247	6.530009	5.698541
93	30.320143	29.435751	30.367832	30.622877	29.870512	30.404501	30.048416	29.98831	30.713636	31.512814	30.925524	29.66785	30.173548	30.212986	30.742607	30.843412
94	0.223911	0.220126	0.095582	0.158973	0.178344	0.171206	0.229466	0.140333	0.127678	0.231421	0.09795	0.117448	0.136843	0.238673	0.193432	0.297477
95	22.116076	22.221882	21.253262	19.669525	20.547596	22.845158	22.6082	22.727692	22.819332	22.733273	21.097898	22.51141	19.350622	22.008389	22.775419	19.891973
96	0.205251	0.202966	0.167135	0.173797	0.205383	0.213826	0.186213	0.184049	0.170298	0.226099	0.187264	0.192927	0.181134	0.21714	0.188472	0.199854
97	2.464878	2.337166	2.628532	2.402418	2.389362	2.655473	2.431545	2.541365	2.414027	2.48404	2.417839	2.503462	2.428162	2.42769	2.451957	2.34502
98	4.601949	16.570147	14.373454	10.142615	4.997669	4.813512	14.697333	11.966652	5.71719	10.347636	6.01743	6.755761	8.744185	4.202266	4.017314	5.053606
99	1.711927	2.212047	2.294429	1.163366	2.171235	0.954777	2.087282	1.99916	1.119285	1.492784	0.897013	2.41369	1.201235	1.382093	2.091969	1.125576
100	6.093035	5.797957	6.486211	7.416793	5.973216	6.215909	6.514889	5.160938	5.632361	4.46791	5.498493	7.611065	6.164232	4.992492	4.811391	5.851323
101	5.343665	5.348217	5.449444	5.385847	5.381355	5.539288	5.561316	5.372479	5.489573	5.453221	5.478148	5.425134	5.337368	5.514788	5.530418	5.390039
102	2.716985	5.437012	5.784608	4.483654	3.870164	4.312054	4.21411	1.816087	4.866885	5.403433	3.328095	5.314441	6.074662	4.36284	4.742582	5.40249
103	1.599341	1.71086	1.529996	1.78495	1.326872	1.779982	1.806951	1.569601	1.794926	1.699892	1.525034	1.576357	1.404055	1.544948	1.631796	1.823463
104	17.77223	5.877849	11.959299	18.464323	16.67452	9.394102	16.227345	8.156195	5.501127	3.622978	8.951293	4.569045	13.935183	13.878575	17.952055	14.313189
105	27.417202	27.874769	21.877485	21.99164	25.299938	15.956781	18.772945	24.420237	20.60697	21.179058	25.757629	29.325228	27.104652	11.188317	24.978638	14.050269
106	20.011272	20.556316	20.56745	20.157166	19.560764	20.084444	20.009523	19.794941	20.616354	20.866541	19.692562	20.118639	20.342396	20.394209	19.762001	19.507759
107	19.599773	19.676771	19.14208	20.084864	19.237112	19.264612	20.726849	19.772127	19.351229	20.409065	19.226198	19.06748	19.699524	19.593225	19.367933	20.309885
108	28.951639	25.752645	29.593094	18.902878	31.78377	31.393862	16.022408	11.835861	29.107174	26.015697	27.765114	26.191479	15.458242	21.753359	30.588808	28.545168
109	7.828789	8.71101	7.747986	9.19604	9.006321	7.724527	7.777564	8.182579	8.872927	9.300673	8.617848	8.890039	8.799648	8.592903	8.310343	9.996515
110	10.516668	13.353799	16.179697	14.992979	10.106921	6.030708	10.873277	15.286165	13.059263	13.998515	16.119047	10.797794	7.281128	9.173958	13.937409	16.970619
111	7.889321	10.315149	5.197929	4.01588	8.102208	6.184222	6.536933	7.864305	7.689187	9.651782	7.724026	6.960505	7.390695	3.409301	8.461712	7.443346
112	5.184549	9.002037	13.812552	12.8211	15.345798	11.627283	11.529064	5.169471	7.777261	16.105198	13.191371	6.840779	7.473482	12.240548	7.985574	13.63258
113	0.600773	0.667919	0.469671	0.416483	0.395721	0.670857	0.813139	0.69118	0.644669	0.391287	0.948985	0.745089	0.414455	0.79389	0.674875	0.411032
114	1.506754	1.512175	1.514619	1.430411	1.506858	1.497024	1.518102	1.51422	1.483537	1.517933	1.518182	1.471672	1.518418	1.473227	1.467038	1.517995
115	1.046913	0.902602	0.898779	1.046621	1.123949	1.027881	1.006548	0.920735	0.870602	0.979545	0.935037	1.03333	1.024895	1.063564	0.977271	0.938271
116	8.792236	12.619228	8.03725	9.585631	8.65859	11.303826	8.413806	8.029952	9.289188	11.283989	8.273548	7.008867	11.016897	10.346206	8.430207	10.7323
117	5.366784	3.027725	5.403022	5.109844	2.724629	4.816424	6.200772	3.673672	7.126012	7.044629	2.134686	4.276574	3.934833	2.088397	4.126565	5.228026
118	2.791527	2.014571	1.62431	1.906685	1.801622	2.089348	2.115509	1.710192	1.655596	1.964492	2.065274	1.436859	1.173467	1.324587	1.473798	2.404722
119	3.036753	2.901438	3.112013	2.860742	2.907799	3.104747	2.976527	3.067619	2.882677	3.086895	3.100391	2.960713	2.86893	3.046828	3.015636	3.07328
120	7.627656	5.676307	5.980686	6.779959	5.053261	5.517492	6.782848	7.456608	5.676172	6.344421	8.041282	6.024241	7.747713	5.870848	6.482719	6.248654
121	10.976373	11.516313	14.444274	16.265091	13.060368	13.514703	13.8658	13.262653	10.536234	14.057057	16.955721	15.099789	15.641139	11.645107	11.802932	16.563007
122	1.250572	2.19256	1.954418	1.937717	1.572719	2.192709	1.807668	2.275501	0.906946	1.77598	1.454504	0.992287	1.998244	1.824922	1.991773	1.635252
123	28.698902	13.419622	21.329065	21.081982	28.186508	30.740076	30.549036	30.668859	30.371096	9.431713	29.286993	16.380259	24.247578	10.449292	23.128263	18.131399
124	2.172635	2.19677	2.321441	2.214202	2.043263	1.92765	2.1248	2.10581	2.107292	1.844615	1.845193	1.842613	1.921496	2.06571	2.036059	2.083158
125	2.074147	1.912801	1.680179	2.355439	2.158161	2.280663	1.551049	1.98625	1.794687	2.154162	2.406016	2.156381	1.883368	2.035968	1.372735	1.6513
126	12.630653	5.294591	8.177874	17.825705	12.712317	11.956884	11.660604	8.063862	11.861404	9.208727	9.223065	12.102722	13.17043	11.595295	1.972265	9.153117
127	5.305245	7.567409	4.78179	7.089354	7.865414	7.113321	5.924948	4.389433	6.717569	4.129666	7.064884	5.716009	8.111882	4.557708	3.221756	5.106054
128	9.609175	30.876783	14.386901	19.751064	14.203657	15.947231	20.582127	17.517239	11.283394	15.88548	17.597889	12.72248	16.271978	14.107908	25.582117	15.180928
129	0.856885	0.208081	0.301984	1.163656	0.463134	1.161461	0.984575	0.807715	0.70439	0.882389	0.65151	1.136493	0.992033	0.790652	0.805204	0.861708
130	31.32778	24.540703	25.078754	30.341412	24.476711	19.211273	28.46837	24.332792	18.272945	20.396805	20.019157	12.433204	32.71138	18.31856	28.300728	32.120049
131	0.413889	0.411075	0.633594	0.629239	0.450086	0.66694	0.674074	0.420127	0.50064	0.606504	0.358602	0.429231	0.40072	0.400637	0.700517	0.664229
132	5.387797	6.339965	6.042635	6.049381	5.034283	6.283341	6.545198	5.295806	5.242487	5.912014	5.694088	5.337132	6.438395	4.737894	5.310327	6.511573
133	15.120311	14.484286	16.212715	12.872221	15.82183	14.16933	14.263558	14.539904	15.165948	15.023298	16.566488	15.705667	13.318453	14.302418	14.62935	14.170148
134	0.115674	0.086126	0.095247	0.112201	0.107138	0.114376	0.119034	0.091771	0.094208	0.116542	0.081773	0.111028	0.09659	0.09755	0.118689	0.110417
135	9.921647	12.52724	9.989035	1.430353	3.195327	11.216709	9.562604	7.700124	11.602265	12.170609	5.78447	8.953259	7.231674	8.671309	10.695364	7.500095
136	16.307634	14.633126	15.605251	15.941913	15.388171	15.865212	15.679213	16.211935	15.441917	15.766634	14.803288	15.865041	15.447494	15.952012	16.161007	15.285426
137	47.55426	20.627958	50.321136	62.076817	59.189247	24.749733	55.550243	30.801014	53.779591	20.863218	45.015175	22.064392	58.242256	36.843452	18.252893	60.026443
138	5.469091	4.221111	4.184494	5.152971	3.085131	5.71459	5.587549	5.13612	3.806957	5.304655	5.865681	6.800383	3.822602	4.608906	4.041918	7.54258
139	25.115473	21.230309	21.629826	25.22607	23.669481	24.805935	24.329031	22.19784	23.006788	21.315828	22.935797	23.766998	24.241869	24.934061	23.420591	24.834867
140	1.013609	1.036451	1.092	1.072423	1.022277	1.036737	1.051288	1.084548	0.974151	1.036386	1.0218	1.020634	0.968393	1.013627	0.978726	1.059294
141	6.381638	6.744319	6.289985	6.398232	6.712214	6.639517	6.876401	6.8876	6.888431	6.907626	6.459793	6.499319	6.598184	6.489279	6.866057	6.854401
142	2.923557	5.626437	3.528119	4.326283	5.092228	5.611832	5.161818	3.240795	4.778481	6.048113	3.147721	5.689721	3.763164	3.377562	4.409554	4.156968
143	8.665324	11.159064	9.054384	11.016943	8.09409	9.999105	11.70602	9.945205	11.771082	8.435854	9.206489	11.232603	9.085805	8.891176	11.915086	11.774797
144	29.686014	31.094412	25.29871	28.47595	30.028391	28.388666	31.231588	30.710621	33.522133	24.958086	28.962557	25.972742	28.984272	33.030792	31.830452	32.997437
145	3.39207	4.080052	11.246374	8.828032	3.354226	8.800825	3.842151	6.009666	6.201005	1.25461	8.508629	1.405046	7.648046	10.859161	5.52666	6.47822
146	4.85208	4.69988	4.65049	5.160044	5.112682	5.18593	4.355093	4.431751	4.55257	4.7239	4.826628	4.660347	4.970706	4.366266	4.942135	4.640689
147	15.501064	15.459107	6.628771	9.840042	24.554522	5.746626	8.461828	7.545949	23.073177	21.431856	18.736849	18.122519	15.071877	21.498617	5.206624	22.47662
148	11.933374	10.936583	15.134027	12.793304	20.154163	13.968499	25.454748	13.118358	16.064838	15.234118	26.681063	10.660769	25.781263	18.608723	16.714098	28.22892
149	11.271184	24.733494	12.115771	23.911041	17.595663	14.02693	11.461493	19.234102	25.063438	21.661207	13.779012	17.613668	15.64333	24.710258	23.759846	25.237793
150	4.322548	5.58633	2.408717	4.398371	2.487971	5.408361	3.239901	4.914816	2.422019	4.994298	3.71245	2.972379	7.022023	2.791931	2.68791	4.122941
151	17.092308	17.89208	14.983462	14.134352	14.008063	15.323712	16.718969	13.032554	15.917845	13.601129	14.167873	17.847942	14.345361	12.250801	16.980082	13.216902
152	0.163563	0.173525	0.154351	0.173815	0.187582	0.154037	0.168129	0.207822	0.172889	0.153961	0.190471	0.195826	0.169024	0.160964	0.179104	0.213262
153	8.931525	8.175037	8.623938	8.673985	9.476881	8.222675	8.628083	9.046442	8.152128	8.117418	8.771136	9.011053	8.579781	9.173075	8.680484	8.442048
154	0.870344	1.201704	1.540013	1.161339	0.685151	1.014984	1.575238	1.301953	1.002906	0.817544	1.302529	2.02733	1.140561	1.341009	1.582916	1.075864
155	5.450506	4.749814	5.471016	4.660208	5.426229	3.733442	3.64337	5.697449	3.551342	5.166348	3.706127	5.80539	4.735496	4.8904	5.876767	5.848131
156	6.129083	6.637273	4.653049	6.405608	4.290665	4.132236	5.069788	6.468414	7.743225	4.167387	4.708449	5.203191	5.207208	3.946237	4.598794	4.860515
157	5.014301	4.703139	5.571918	4.83428	4.983289	5.258653	5.420239	5.514405	4.875141	4.889019	5.477353	5.766875	5.575983	5.610002	5.501276	4.811852
158	3.783377	3.904566	4.936136	4.556952	5.162226	5.436131	5.127037	4.217089	4.854596	3.438398	5.108684	4.38096	3.747608	4.136711	3.004072	3.983634
159	37.36293	33.713131	31.13047	35.228477	29.996403	31.52182	34.101585	31.818609	34.282524	32.475758	34.502346	30.317289	31.580427	29.305578	31.608135	29.978905
160	3.404437	3.956862	2.548369	3.318295	4.258511	2.673742	2.674588	4.171512	2.811224	3.141674	3.767605	3.160872	3.420025	2.424205	3.259018	3.131267
161	36.35556	36.945335	38.642876	37.412235	39.04707	37.83242	38.606689	38.11462	37.626225	37.094795	35.03511	36.355556	36.404568	37.453991	36.165546	36.734798
162	3.381656	3.412749	1.936761	3.270692	1.968441	0.821062	2.585588	3.434634	2.285652	1.894029	2.058777	1.663724	2.368627	2.191854	2.928462	1.059107
163	0.717583	0.372065	0.697235	0.658358	1.109317	0.359221	0.195048	0.538728	0.534724	0.24764	1.083406	1.023026	0.23353	0.240256	1.1049	1.107152
164	2.491434	3.034859	3.132884	0.79748	1.235654	1.639932	3.335293	0.857128	0.73397	1.545761	3.340424	2.152336	1.01007	1.137141	2.238937	3.288817
165	6.917668	6.864397	6.218663	6.734844	6.504704	6.776028	7.468481	8.806518	7.11298	7.531415	9.84754	6.031868	6.547889	6.38066	7.952311	6.080506
166	1.279313	1.293717	1.283679	1.307146	1.260906	1.307875	1.293273	1.240159	1.26011	1.310004	1.304143	1.271925	1.309727	1.141915	1.176856	1.203954
167	2.159182	1.69912	2.323014	2.008192	2.287436	1.886391	2.180231	1.633249	1.399525	2.043866	2.172454	2.556257	1.583221	1.82116	2.402713	1.630358
168	42.123611	19.78899	100.667061	37.646126	22.320955	124.036346	66.55851	53.308243	19.498659	165.375275	48.206165	85.694565	97.181946	49.910965	121.439857	49.102036
