id	c0r1	c0r2	c0r3	c0r4	c1r1	c1r2	c1r3	c1r4
24	10.398032	11.574834	10.250355	12.483849	14.081771	16.179852	15.592528	17.704954
25	8.720677	10.448679	10.261705	14.170529	22.515026	20.371304	9.496442	21.180901
26	11.948825	9.573043	10.787716	7.230910	26.132553	18.881321	25.609329	15.336326
27	15.765446	9.518579	12.842446	14.743098	17.558168	25.654659	24.963238	32.112022
28	10.342569	17.284792	14.393318	14.588351	33.997784	8.665775	18.596338	12.390448
29	7.363694	13.641303	10.221365	10.343873	15.981899	26.664354	35.298386	15.564128
30	9.843038	10.371655	10.43042	10.026849	13.881012	14.440519	15.219161	16.138674
31	9.914789	9.400753	10.186163	9.353564	17.638622	14.15948	15.559756	17.699574
32	9.397986	10.420396	10.176622	8.908373	15.420157	16.163845	11.544292	11.30725
33	9.123460	8.790254	9.835788	9.380573	11.787531	13.001142	11.613039	14.939955
34	7.952550	7.618940	7.803772	13.092453	18.331354	15.38131	15.31148	14.769146
35	14.289293	10.714418	12.458816	5.956993	22.262413	21.467949	5.742692	17.045593
36	11.366362	10.747345	11.444838	10.277841	6.678361	11.404757	18.772762	13.757197
37	9.194271	11.591567	6.066961	15.838864	15.884596	6.685128	15.371838	26.484846
38	6.661952	6.964145	10.424427	15.839375	13.365813	3.622694	2.907052	15.363021
39	4.985261	14.630369	8.637319	14.111155	29.170338	12.490049	10.36644	1.023962
40	20.729822	21.180571	20.884905	19.122778	47.968601	55.605038	50.528458	51.854561
41	22.173365	20.155935	19.533007	21.493078	44.095715	48.363911	49.844212	48.876675
42	17.910933	17.787697	14.742294	20.753416	46.794468	36.71719	57.491947	42.506458
43	21.255661	20.479155	27.803389	18.092026	52.647923	57.389988	52.137981	31.868025
44	14.987112	20.528416	28.147453	14.147947	65.019417	32.720531	68.478043	28.434792
45	20.600426	22.588356	27.284185	17.536526	50.015656	77.907112	44.613178	29.588823
46	8.241833	27.422535	14.309881	20.069151	49.805607	51.859638	46.489185	53.304089
47	20.430593	15.111668	21.100805	8.997161	39.936836	18.042925	60.372272	38.134838
48	14.344858	16.84807	31.849857	13.581442	25.715769	13.210042	29.087946	16.872959
49	9.681853	28.176626	16.09030	20.788544	9.939145	19.365408	14.334916	4.798743
50	5.966194	3.651793	5.494903	4.121228	6.872149	7.270185	4.920128	7.205935
51	0.543809	3.047145	5.300937	3.013457	5.830722	3.224548	2.400462	1.162324
52	31.634636	15.422709	21.61603	20.397116	18.875824	14.583985	19.433126	9.064631
53	3.573283	2.956368	3.574895	4.036476	3.219600	2.999012	2.627298	3.754233
54	10.300138	12.181607	8.282268	10.252282	8.552956	11.173804	10.84493	10.748686
55	6.554992	8.290776	5.931407	13.145146	12.028393	11.648065	13.118971	7.543865
56	20.209791	18.290764	14.216119	19.781216	14.726383	14.147249	14.048467	17.019148
57	4.477665	27.986094	33.248825	5.544472	5.218226	16.824553	27.250063	16.688107
58	9.444931	9.507872	8.738633	8.815021	8.104684	8.368288	9.530937	7.738131
59	0.101457	0.109272	0.067971	0.100707	0.100677	0.107681	0.074637	0.077879
60	9.461531	9.892601	8.796828	9.231437	8.992250	8.908185	9.701723	9.422748
61	0.195571	0.109376	0.428147	0.384701	0.121252	0.360149	0.107755	0.233695
62	9.126437	7.607845	4.13168	6.053997	3.175946	7.427341	3.993819	8.873529
63	7.816132	20.662104	8.002497	20.26392	18.059574	19.650274	19.842241	21.479721
64	3.687058	3.225244	2.647663	3.816992	3.939409	2.700655	3.236278	3.73192
65	3.544784	3.735017	5.218211	7.581745	3.896543	3.286545	6.497434	2.430804
66	6.152522	6.126952	6.566597	6.440016	6.669887	6.520854	6.903954	6.403229
67	9.998101	10.619817	10.638185	10.434843	10.121291	9.326826	10.16925	9.105955
68	4.170165	5.34942	5.171039	4.609582	4.487234	5.427323	5.196573	4.214633
69	1.006233	1.97664	1.457101	1.805198	1.959206	3.05583	1.602705	0.780489
70	4.998613	7.634873	6.441072	8.151727	5.853505	6.219328	8.828607	4.742176
71	5.75047	7.05599	6.573361	6.290801	6.624806	5.209034	6.450747	7.12838
72	17.137619	12.516348	11.919263	16.794931	15.857395	18.117271	15.232249	17.735666
73	0.565697	0.810816	1.038278	0.378577	0.148826	0.500743	0.842695	0.951445
74	28.631235	21.089252	21.33334	28.861948	27.214655	26.852812	23.174595	17.256136
75	25.424175	24.937481	27.253147	30.668558	30.194662	27.891233	36.184715	22.246225
76	28.562101	25.306971	22.350399	30.038717	19.508776	23.209089	26.672552	19.434107
77	21.622974	21.582422	16.04616	12.064273	17.461872	16.709127	12.194837	16.5147
78	8.857047	11.970726	10.23448	10.187291	5.796256	6.755325	10.207334	11.812263
79	22.728899	23.729847	23.98173	19.208509	19.730602	23.093868	21.116171	22.714825
80	14.511105	13.997179	14.271585	11.892836	14.071391	14.610914	13.683883	11.778514
81	1.939288	3.108081	1.001455	2.920435	2.863864	5.072324	3.795606	4.149953
82	4.095341	4.292382	3.715986	4.312563	4.297629	3.798515	3.825296	4.283546
83	4.945011	5.987397	5.62674	5.642029	5.68609	5.310764	4.511915	5.843268
84	6.43105	5.717494	6.4371	6.387084	6.653259	6.448681	6.199243	6.264347
85	7.12666	7.133776	7.189144	7.130332	7.170516	7.161854	7.162889	7.222712
86	8.62126	7.02759	6.629584	11.854145	9.154902	9.581777	11.554724	10.807396
87	4.049259	4.14998	4.327267	4.118376	3.942418	4.207452	4.280127	4.021419
88	32.935902	48.233265	54.476345	66.507294	60.403816	34.124012	58.836399	47.227558
89	10.244236	53.975224	23.25812	20.650049	36.126167	49.079296	20.870045	14.036759
90	5.100197	4.056011	5.174154	4.170155	4.2429	4.835953	4.759316	4.961434
91	5.028154	5.481422	5.761339	5.920184	5.379826	5.558946	4.941181	4.43642
92	6.246444	4.622674	6.021478	4.590846	4.731053	4.574844	6.804282	7.386632
93	30.320143	29.435751	30.367832	30.622877	29.870512	30.404501	30.048416	29.98831
94	0.223911	0.220126	0.095582	0.158973	0.178344	0.171206	0.229466	0.140333
95	22.116076	22.221882	21.253262	19.669525	20.547596	22.845158	22.6082	22.727692
96	0.205251	0.202966	0.167135	0.173797	0.205383	0.213826	0.186213	0.184049
97	2.464878	2.337166	2.628532	2.402418	2.389362	2.655473	2.431545	2.541365
98	4.601949	16.570147	14.373454	10.142615	4.997669	4.813512	14.697333	11.966652
99	1.711927	2.212047	2.294429	1.163366	2.171235	0.954777	2.087282	1.99916
100	6.093035	5.797957	6.486211	7.416793	5.973216	6.215909	6.514889	5.160938
101	5.343665	5.348217	5.449444	5.385847	5.381355	5.539288	5.561316	5.372479
102	2.716985	5.437012	5.784608	4.483654	3.870164	4.312054	4.21411	1.816087
103	1.599341	1.71086	1.529996	1.78495	1.326872	1.779982	1.806951	1.569601
104	17.77223	5.877849	11.959299	18.464323	16.67452	9.394102	16.227345	8.156195
105	27.417202	27.874769	21.877485	21.99164	25.299938	15.956781	18.772945	24.420237
106	20.011272	20.556316	20.56745	20.157166	19.560764	20.084444	20.009523	19.794941
107	19.599773	19.676771	19.14208	20.084864	19.237112	19.264612	20.726849	19.772127
108	28.951639	25.752645	29.593094	18.902878	31.78377	31.393862	16.022408	11.835861
109	7.828789	8.71101	7.747986	9.19604	9.006321	7.724527	7.777564	8.182579
110	10.516668	13.353799	16.179697	14.992979	10.106921	6.030708	10.873277	15.286165
111	7.889321	10.315149	5.197929	4.01588	8.102208	6.184222	6.536933	7.864305
112	5.184549	9.002037	13.812552	12.8211	15.345798	11.627283	11.529064	5.169471
113	0.600773	0.667919	0.469671	0.416483	0.395721	0.670857	0.813139	0.69118
114	1.506754	1.512175	1.514619	1.430411	1.506858	1.497024	1.518102	1.51422
115	1.046913	0.902602	0.898779	1.046621	1.123949	1.027881	1.006548	0.920735
116	8.792236	12.619228	8.03725	9.585631	8.65859	11.303826	8.413806	8.029952
117	5.366784	3.027725	5.403022	5.109844	2.724629	4.816424	6.200772	3.673672
118	2.791527	2.014571	1.62431	1.906685	1.801622	2.089348	2.115509	1.710192
119	3.036753	2.901438	3.112013	2.860742	2.907799	3.104747	2.976527	3.067619
120	7.627656	5.676307	5.980686	6.779959	5.053261	5.517492	6.782848	7.456608
121	10.976373	11.516313	14.444274	16.265091	13.060368	13.514703	13.8658	13.262653
122	1.250572	2.19256	1.954418	1.937717	1.572719	2.192709	1.807668	2.275501
123	28.698902	13.419622	21.329065	21.081982	28.186508	30.740076	30.549036	30.668859
124	2.172635	2.19677	2.321441	2.214202	2.043263	1.92765	2.1248	2.10581
125	2.074147	1.912801	1.680179	2.355439	2.158161	2.280663	1.551049	1.98625
126	12.630653	5.294591	8.177874	17.825705	12.712317	11.956884	11.660604	8.063862
127	5.305245	7.567409	4.78179	7.089354	7.865414	7.113321	5.924948	4.389433
128	9.609175	30.876783	14.386901	19.751064	14.203657	15.947231	20.582127	17.517239
129	0.856885	0.208081	0.301984	1.163656	0.463134	1.161461	0.984575	0.807715
130	31.32778	24.540703	25.078754	30.341412	24.476711	19.211273	28.46837	24.332792
131	0.413889	0.411075	0.633594	0.629239	0.450086	0.66694	0.674074	0.420127
132	5.387797	6.339965	6.042635	6.049381	5.034283	6.283341	6.545198	5.295806
133	15.120311	14.484286	16.212715	12.872221	15.82183	14.16933	14.263558	14.539904
134	0.115674	0.086126	0.095247	0.112201	0.107138	0.114376	0.119034	0.091771
135	9.921647	12.52724	9.989035	1.430353	3.195327	11.216709	9.562604	7.700124
136	16.307634	14.633126	15.605251	15.941913	15.388171	15.865212	15.679213	16.211935
137	47.55426	20.627958	50.321136	62.076817	59.189247	24.749733	55.550243	30.801014
138	5.469091	4.221111	4.184494	5.152971	3.085131	5.71459	5.587549	5.13612
139	25.115473	21.230309	21.629826	25.22607	23.669481	24.805935	24.329031	22.19784
140	1.013609	1.036451	1.092	1.072423	1.022277	1.036737	1.051288	1.084548
141	6.381638	6.744319	6.289985	6.398232	6.712214	6.639517	6.876401	6.8876
142	2.923557	5.626437	3.528119	4.326283	5.092228	5.611832	5.161818	3.240795
143	8.665324	11.159064	9.054384	11.016943	8.09409	9.999105	11.70602	9.945205
144	29.686014	31.094412	25.29871	28.47595	30.028391	28.388666	31.231588	30.710621
145	3.39207	4.080052	11.246374	8.828032	3.354226	8.800825	3.842151	6.009666
146	4.85208	4.69988	4.65049	5.160044	5.112682	5.18593	4.355093	4.431751
147	15.501064	15.459107	6.628771	9.840042	24.554522	5.746626	8.461828	7.545949
148	11.933374	10.936583	15.134027	12.793304	20.154163	13.968499	25.454748	13.118358
149	11.271184	24.733494	12.115771	23.911041	17.595663	14.02693	11.461493	19.234102
150	4.322548	5.58633	2.408717	4.398371	2.487971	5.408361	3.239901	4.914816
151	17.092308	17.89208	14.983462	14.134352	14.008063	15.323712	16.718969	13.032554
152	0.163563	0.173525	0.154351	0.173815	0.187582	0.154037	0.168129	0.207822
153	8.931525	8.175037	8.623938	8.673985	9.476881	8.222675	8.628083	9.046442
154	0.870344	1.201704	1.540013	1.161339	0.685151	1.014984	1.575238	1.301953
155	5.450506	4.749814	5.471016	4.660208	5.426229	3.733442	3.64337	5.697449
156	6.129083	6.637273	4.653049	6.405608	4.290665	4.132236	5.069788	6.468414
157	5.014301	4.703139	5.571918	4.83428	4.983289	5.258653	5.420239	5.514405
158	3.783377	3.904566	4.936136	4.556952	5.162226	5.436131	5.127037	4.217089
159	37.36293	33.713131	31.13047	35.228477	29.996403	31.52182	34.101585	31.818609
160	3.404437	3.956862	2.548369	3.318295	4.258511	2.673742	2.674588	4.171512
161	36.35556	36.945335	38.642876	37.412235	39.04707	37.83242	38.606689	38.11462
162	3.381656	3.412749	1.936761	3.270692	1.968441	0.821062	2.585588	3.434634
163	0.717583	0.372065	0.697235	0.658358	1.109317	0.359221	0.195048	0.538728
164	2.491434	3.034859	3.132884	0.79748	1.235654	1.639932	3.335293	0.857128
165	6.917668	6.864397	6.218663	6.734844	6.504704	6.776028	7.468481	8.806518
166	1.279313	1.293717	1.283679	1.307146	1.260906	1.307875	1.293273	1.240159
167	2.159182	1.69912	2.323014	2.008192	2.287436	1.886391	2.180231	1.633249
168	42.123611	19.78899	100.667061	37.646126	22.320955	124.036346	66.55851	53.308243
169	5.461409	17.366064	5.587626	3.369341	3.384454	24.40169	4.452213	5.719039
170	15.23697	7.03619	17.563358	12.907845	17.090385	17.228111	15.28968	4.333332
171	22.998753	37.607262	26.582771	28.581581	34.62933	26.663456	28.020943	30.916906
172	3.243884	2.880327	2.929127	2.672104	2.185356	2.806027	2.607611	2.818279
173	24.621798	24.06526	23.13166	23.162283	23.777058	24.661613	24.7115	20.690958
174	9.041417	10.153599	7.672959	7.866082	7.776715	8.353465	6.707473	8.686535
175	9.164775	10.368669	3.953121	4.355087	10.081671	11.482574	6.753274	7.084505
176	11.61832	13.07465	10.627461	14.087626	12.294911	11.921288	10.962616	15.488475
177	0.023974	0.017647	0.008047	0.02029	0.012963	0.022794	0.010709	0.021004
178	0.082903	0.081595	0.093602	0.087101	0.091642	0.08612	0.083359	0.088786
179	35.146473	36.741058	34.025379	32.698235	34.273323	32.340012	37.807499	35.627613
180	41.114754	32.403053	45.856804	38.067085	36.538597	48.890583	39.807133	27.953671
181	4.049208	3.918588	3.213283	1.794235	4.030007	5.147069	3.363902	2.174359
182	15.149132	11.66252	4.835358	14.567411	15.649093	11.689466	14.284677	9.292139
183	2.005293	0.914897	1.691923	1.79338	1.103606	2.118586	0.856475	1.805885
184	15.492823	12.835546	9.925328	11.392043	11.363477	12.384343	11.328303	11.722039
185	8.372414	8.415329	11.542169	8.152546	12.359548	9.21678	10.26219	8.749318
186	0.551427	0.58146	0.571332	0.578624	0.555975	0.569184	0.55509	0.560609
187	25.53841	19.925631	19.127449	7.478322	20.320391	18.978621	21.237366	19.083071
188	3.104987	3.068002	2.99693	3.165158	3.011132	3.210252	2.993999	3.172045
189	24.691772	24.750597	24.656902	24.678049	24.727192	24.846359	24.684372	24.388649
190	66.416962	57.665684	66.40126	56.043846	66.449951	57.652145	66.429565	61.879349
191	5.363198	6.091799	7.570101	7.030492	5.631687	7.594133	4.837986	7.457563
192	36.959328	41.689789	41.330116	40.12014	37.702633	42.550568	39.199215	33.219486
193	16.852423	22.610615	32.101761	37.356613	29.271246	28.116356	23.555929	26.505939
194	20.85458	33.338802	32.437801	19.26515	43.198086	23.064474	22.696632	28.342676
195	5.239885	5.258683	5.153456	5.021423	5.254752	4.98625	5.075366	5.528674
196	4.397386	2.563268	3.92981	3.532713	3.215327	3.245611	3.28716	3.704517
197	13.230526	13.045679	16.292746	15.703258	12.414276	14.680338	11.386142	15.280656
198	12.251516	7.679388	14.990832	9.224191	13.404777	8.588041	10.656468	15.195702
199	0.373819	0.755577	0.393384	0.439623	0.636818	0.427368	0.526207	0.539288
200	13.002265	10.726153	5.336323	10.224923	8.897067	10.45523	5.65682	13.205445
201	13.242427	15.340634	14.240886	15.849889	13.276423	15.809277	13.373851	14.335077
202	1.554245	3.761093	1.42481	1.429803	3.589952	3.708335	1.918874	2.599599
203	12.35216	18.981812	18.69418	13.644231	22.326202	14.646392	10.413291	20.252705
204	1.552973	1.623675	1.638208	1.536534	1.821825	1.543938	1.183084	1.232817
205	3.068316	4.098349	6.26694	3.402712	3.897788	3.844282	5.302982	3.031373
206	4.116271	12.881647	15.054298	6.023295	0.687094	2.40245	10.105981	10.009823
207	10.775935	10.407866	11.509117	9.861326	10.314145	10.435623	10.690749	11.221137
208	11.4396	15.648609	11.385619	14.253735	13.758188	9.088756	11.26614	12.394553
209	23.427834	22.044432	13.239298	16.068756	18.620268	20.173824	21.992449	24.661076
210	3.394935	3.948745	3.987895	2.822948	3.801007	3.767071	3.591859	2.860111
211	0.763577	6.433438	3.388053	3.416458	4.070562	3.365715	4.178828	2.243748
212	0.009683	0.008705	0.008782	0.008795	0.009289	0.008162	0.009307	0.008679
213	10.183674	9.796997	12.725905	8.647627	10.826346	9.166383	10.110706	14.615864
214	4.306204	3.889159	5.579993	5.957425	9.587714	6.875228	6.416695	6.840193
215	2.737388	7.17397	9.5048	6.602331	6.447031	3.881653	6.715852	5.684488
216	0.730487	16.893518	2.708631	3.516166	7.889518	15.194909	5.423608	2.146416
217	55.313744	35.984051	65.754547	65.524399	45.534176	52.156315	37.353195	37.447407
218	17.303278	14.892218	10.214018	9.930538	17.347847	16.886072	22.030371	11.977949
219	1.11036	0.863656	1.088884	0.974994	1.056506	0.842929	0.869915	1.180198
220	10.792653	8.687125	10.774064	11.637799	10.49176	10.80384	8.434674	8.666937
221	14.597565	17.902296	19.981865	16.596704	14.650642	12.246023	18.469881	17.932493
222	13.265327	8.57739	12.554516	13.345133	11.970448	12.280169	12.479226	11.701221
223	3.398244	3.568324	3.104383	3.011762	2.740646	3.351356	1.9645	2.576899
224	3.388116	2.101295	9.035175	7.595799	9.956753	6.163528	8.22052	4.188381
225	25.382364	24.506269	25.45488	30.045937	27.516834	24.017139	27.281349	22.079803
226	0.287446	0.299755	0.252825	0.372607	0.311341	0.313366	0.265596	0.25457
227	8.302106	4.865444	6.799287	7.649165	8.045345	7.352523	7.502171	6.652661
228	14.845888	10.658056	25.49951	19.308931	17.331518	20.238899	16.30278	7.916467
229	8.13788	8.324356	10.845545	6.847708	9.785405	8.543564	10.03034	6.86453
230	3.681111	1.707786	3.76782	6.470472	2.133719	2.240634	5.355559	5.409608
231	16.791531	15.210629	16.757984	15.588502	16.501846	13.73185	15.149997	15.561242
232	2.294633	2.360309	2.356736	2.318773	2.448971	2.302283	2.438661	2.323136
233	10.505917	10.612406	9.189323	8.332837	8.533097	4.837523	6.626785	11.255684
234	27.230881	34.941875	36.188602	23.331995	25.397684	25.602167	38.976562	48.42437
235	2.077096	5.696617	1.653792	0.396413	0.577755	1.150862	5.155341	6.284785
236	6.591065	6.602705	6.595322	6.498416	6.525552	6.557986	6.53862	6.578596
237	2.9281	2.984603	2.974231	2.673293	3.086658	2.877898	2.861361	2.955961
238	0.857058	0.867655	0.868713	0.850699	0.865262	0.857804	0.85979	0.864882
239	6.122426	2.053947	7.500166	1.05087	0.891905	5.835841	2.217162	3.285693
240	2.776314	2.809494	2.794083	2.818283	2.801503	2.784849	2.814424	2.751963
241	10.449203	13.805542	5.155013	14.034865	7.791391	10.060604	22.204891	7.851205
242	29.529766	19.076824	52.930019	52.157867	26.758137	21.776527	45.402279	30.306868
243	13.322281	5.128054	8.431368	7.396362	9.200253	9.39165	13.146238	8.806451
244	12.761284	13.209935	9.628533	12.880199	13.433756	12.415591	11.905607	14.495311
245	14.884961	11.442277	12.99542	15.685271	14.654365	12.009917	16.728447	15.282972
246	0.692798	0.656448	0.687938	0.529998	0.520832	0.637083	0.654679	0.711711
247	28.292732	4.42823	8.873015	30.487654	41.300304	43.91589	23.369013	19.416138
248	15.173275	15.692963	15.663286	13.588457	16.707457	14.096733	19.571125	10.230712
249	6.509543	7.628253	8.521744	7.462104	7.103257	6.520104	7.234189	8.11967
250	8.360929	11.311437	12.266412	10.315425	12.766424	12.096336	10.461253	11.519093
251	13.286535	13.431897	12.799399	12.645468	12.286304	11.102367	12.913943	11.860171
252	22.776527	24.330915	27.125782	35.237541	17.442402	22.040155	27.450216	30.31325
253	8.356027	10.358727	9.047823	13.460172	7.443172	7.896602	8.392344	8.716457
254	13.09846	8.981108	10.065618	7.769335	13.880934	18.902298	13.25789	6.683086
255	1.211178	0.907715	1.65106	1.222221	1.948724	1.409176	1.693681	0.739249
256	7.251463	6.393711	6.90311	7.105876	6.931641	6.507359	7.224988	9.18503
257	8.890653	9.116085	5.854805	8.214202	11.277581	7.332398	8.572458	8.117074
258	0.10049	0.09214	0.086594	0.047194	0.036036	0.099831	0.036481	0.068177
259	15.221553	19.721912	17.980097	14.389498	10.644555	12.909862	19.172178	20.035521
260	5.477227	3.816376	5.854113	2.007708	2.222784	2.858163	3.452562	2.979198
261	0.902314	1.047264	0.985524	1.146343	1.165953	1.109303	1.037745	0.760922
262	5.172516	5.152249	4.741577	3.373578	5.653266	4.097234	3.605489	4.436848
263	21.897264	17.463493	16.108072	12.359795	19.52231	19.831558	21.268967	18.548567
264	21.442234	15.603425	50.351601	43.029556	37.275192	19.47233	11.001152	13.370176
265	0.11118	0.110741	0.117263	0.145433	0.127939	0.176841	0.14648	0.164042
266	7.810535	8.175897	7.065008	8.06615	6.592485	6.640515	7.961123	5.586051
267	11.868375	10.379658	12.376849	9.16316	11.038952	13.37679	10.814958	12.312043
268	1.893391	1.186926	2.108007	2.677389	1.919629	2.857811	1.733069	0.88802
269	1.599739	1.393368	1.27682	1.453042	1.372927	1.363578	1.508054	1.356647
270	18.32506	20.49357	23.949457	11.786461	14.374431	19.180395	12.049637	13.539993
271	2.298483	4.673857	7.240805	6.242583	4.555562	7.933968	4.821384	6.722068
272	2.127885	1.775053	2.043973	1.558505	1.615937	2.009119	1.981234	2.148659
273	0.588232	0.584567	0.596025	0.59332	0.588971	0.596396	0.590037	0.597893
274	30.003342	36.362785	14.392576	34.367355	24.958941	34.21616	11.453559	22.515739
275	4.249052	4.523978	4.275161	4.598819	4.21722	4.556089	4.244086	4.215035
276	19.704634	28.228588	9.465905	28.817629	24.532019	8.996546	20.762791	26.911482
277	4.728803	5.810619	6.998933	6.360049	10.227558	4.35933	4.735335	7.611573
278	0.371343	0.173244	0.38064	0.46777	0.484569	0.57396	0.382367	0.590453
279	4.126569	4.439145	4.02745	3.850853	2.119367	3.236193	5.355958	3.163078
280	3.608783	3.933524	3.836499	3.656991	3.698654	3.544437	3.896093	3.75216
281	11.332152	5.494965	3.735602	6.742774	9.406701	10.811123	6.143519	14.380806
282	7.266932	7.566454	8.938255	7.524981	8.219678	8.449645	8.626966	6.719477
283	4.052204	4.332142	4.447303	4.678573	4.374392	4.4305	4.439138	4.611987
284	14.099283	26.858738	9.103534	19.530783	19.559221	14.166671	16.170477	14.787136
285	5.128764	8.908171	9.525403	3.885997	9.12017	4.196497	9.448969	2.64569
286	12.004206	11.992162	12.01014	11.99772	12.014032	12.003334	12.00795	12.009525
287	6.208903	6.745578	7.105778	6.068011	6.272496	5.637311	6.490599	6.34894
288	2.695781	3.267697	2.981878	2.45404	1.447132	1.766731	1.135522	2.899931
289	12.950452	12.96479	12.963642	12.968667	12.971904	12.950879	12.942544	12.930718
290	1.657593	4.131195	3.507627	5.478865	7.240387	4.51573	2.871488	3.641194
291	6.499498	6.348741	6.632789	6.649329	6.389045	6.293694	6.477726	6.368471
292	7.15885	7.091362	7.016723	6.898116	7.325041	7.405464	7.255538	7.106123
293	9.654177	11.482892	8.044559	5.737837	11.530974	10.235332	5.171399	6.649203
294	5.583973	6.277021	7.37213	6.701575	5.998393	4.107636	6.053242	6.585934
295	9.489015	10.17329	3.291234	11.729277	5.777891	13.311706	16.376139	8.153639
296	4.892026	5.115301	6.464286	8.190599	8.839043	10.29148	10.426069	9.297127
297	1.850676	1.841892	1.844229	1.8316	1.837862	1.85886	1.901714	1.909177
298	3.943147	4.319181	9.276003	2.740104	13.290968	13.548967	8.358756	2.735084
299	42.86586	43.635258	82.336838	86.612465	66.138725	38.700306	46.258144	55.541466
300	4.098802	4.071449	3.960527	3.987641	4.013788	4.172648	4.086009	4.166623
301	0.004623	0.004553	0.003979	0.004278	0.00385	0.003877	0.003648	0.004086
302	4.218134	3.98399	4.221748	4.055899	4.147835	4.087724	4.097067	4.239777
303	2.634881	2.260271	2.651708	1.715564	1.247261	1.658374	2.666842	1.648678
304	15.671833	5.647898	6.992725	12.208102	13.10022	12.185304	16.724873	19.889727
305	2.175286	2.362073	2.430633	2.309718	2.38139	1.933048	2.410209	2.497273
306	6.074728	6.673779	6.144896	6.11641	6.579555	7.054688	5.371335	6.648245
307	3.82521	3.823351	3.48926	4.291812	2.308765	3.838237	3.608242	3.612623
308	8.591931	6.570963	7.029652	5.723435	6.207631	11.194985	8.192605	6.843703
309	2.072419	2.753122	1.781744	2.532431	2.003122	2.444264	2.117796	1.899505
310	13.62974	15.449012	15.817774	15.992997	11.638392	15.940482	15.223681	11.230597
311	16.071747	17.40766	15.32159	14.155098	16.626291	14.938116	18.177677	15.235889
312	7.661692	8.071326	9.042839	8.556945	8.606661	6.913523	8.089319	7.230003
313	8.554899	3.377503	12.099484	9.46296	11.651248	9.715965	3.115781	4.465427
314	25.178301	36.064953	31.848991	29.064316	28.07122	22.426882	26.430061	14.76321
315	36.472271	40.769447	36.794872	40.596783	37.366924	40.505417	36.92524	41.047295
316	8.477218	8.031046	8.660862	8.010579	7.944825	8.753642	7.836533	8.086745
317	28.440897	9.17418	27.621254	15.220288	17.1688	7.267457	19.468708	16.732136
318	0.650917	0.674895	0.648748	0.642529	0.684001	0.606665	0.696524	0.685575
319	2.092545	3.021511	2.293117	1.726579	2.065635	2.164477	2.019694	1.869439
320	20.630297	18.400293	18.937536	21.827219	18.170282	9.619095	16.08618	15.937514
321	65.312881	44.68367	66.042778	50.894241	69.268883	38.194168	86.861198	63.13776
322	1.76543	2.197535	2.643138	1.517812	2.29535	2.214502	2.342114	1.802046
323	12.994028	13.427241	5.366622	16.17836	11.127742	34.034885	25.14707	18.574512
324	20.245819	27.29973	25.274006	25.880785	21.181072	18.322924	21.663958	26.391726
325	2.243535	2.178413	1.449801	1.652656	1.441604	1.771203	1.625375	1.427198
326	2.400192	1.872192	2.061019	2.337949	1.910178	1.919155	1.734692	2.09023
327	6.133046	9.845932	4.456308	9.699018	9.109839	4.42753	5.641817	5.079563
328	2.270814	3.043493	1.878775	4.429578	3.640115	0.734852	3.609581	2.559994
329	3.444773	3.948731	2.1454	4.142893	3.43885	3.647537	2.611096	2.847976
330	5.964364	5.587045	6.935575	6.566748	5.025646	4.671381	4.98653	5.618054
