#simf_A001	simf_A002	simf_A003	simf_A004	simf_A005	simf_B001	simf_B002	simf_B003	simf_B004	simf_B005	simf_A001	simf_A003	simf_A004	simf_A005	simf_B001	simf_B002	simf_B003	simf_B004	simf_B005
id	c0r1	c0r2	c0r3	c0r4	c0r5	c0r6	c0r7	i	i	i	c1r1	c1r2	c1r3	c1r4	c1r5	c1r6	c1r7	i	i	i
12	10.635283	7.142917	10.002410	11.341399	9.346563	11.038898	12.741909	9.243446	12.138021	8.704800	12.067810	13.816510	12.122396	11.960896	12.970209	24.377907	16.673729	16.978020	14.321608	24.293964
13	12.528602	9.742280	9.923855	9.641963	11.733462	8.512093	11.240485	9.691262	12.526633	12.370006	8.550902	19.396643	15.335177	6.667850	19.833815	16.028612	25.170534	16.029013	21.674881	17.677551
14	11.133676	13.804144	8.421673	12.148034	7.609049	8.913465	12.409640	11.094642	7.882870	13.989718	19.378666	16.318218	21.633421	6.929372	15.278050	14.053075	12.151010	15.142459	12.964163	10.035455
15	10.533182	10.293955	7.924135	9.987173	5.637128	14.541369	9.713694	12.297866	6.955948	10.882311	22.644598	18.066841	17.185820	6.812489	17.219305	16.515404	16.310852	11.142402	16.585024	12.869378
16	5.410189	11.725493	10.176209	15.347718	8.168135	4.420156	11.165197	6.132504	8.535238	9.316599	8.774814	12.883788	16.142138	12.395596	9.726249	12.013064	11.541611	7.704816	16.630106	15.323442
17	9.930552	4.940457	5.455322	13.229553	5.318102	12.712684	4.788192	5.137310	7.301433	12.081397	21.472088	16.099930	20.498781	12.399398	16.211866	8.582160	18.649576	14.238495	11.928864	16.269142
18	10.774290	11.680061	15.271618	10.924686	11.475422	14.465528	8.553077	14.828627	6.635725	13.422126	19.068161	16.241772	15.950169	16.762863	15.997707	19.348494	18.886280	16.093187	13.726770	18.380054
19	15.293427	11.283828	9.162281	4.131376	11.478155	13.517498	16.766676	11.474657	13.572074	8.259541	10.623064	17.236164	20.085022	14.940850	15.656387	11.713259	18.992348	10.131044	13.019444	18.094902
20	10.222536	10.349443	10.382843	10.162752	10.293733	10.517222	10.644238	10.178951	10.324293	10.060764	8.243292	5.347699	12.321069	19.734100	13.935722	20.237364	5.601280	14.328164	16.469782	2.121628
21	9.822191	9.752070	10.286963	9.983386	10.144845	9.821397	9.418672	10.201441	10.114012	9.728483	7.043961	12.675252	23.608707	3.857061	24.377497	16.968576	17.369730	16.667967	15.496631	11.677835
22	7.641863	11.640024	12.362125	8.627043	9.536525	9.129980	11.116225	9.790465	12.684027	12.150086	8.762106	10.406676	19.517889	11.256415	5.343764	6.076171	11.797589	10.381522	6.824541	16.509449
23	8.697633	9.882791	8.216912	10.966009	12.404162	8.051742	8.514397	9.694552	9.159561	7.972108	8.916595	14.638454	13.673247	16.411184	21.619053	8.782737	13.681772	9.739744	8.943723	8.420668
24	11.385529	11.787383	11.755194	11.937704	12.268041	14.042087	10.322407	8.460971	10.909923	10.746694	11.850956	12.600309	17.423891	13.954360	19.288631	16.793570	9.911252	14.444571	16.651100	12.990208
25	5.685706	12.059766	12.888184	7.241056	10.189889	6.322618	9.296260	9.156251	12.896285	8.567718	11.621138	13.177819	7.791158	11.160326	13.543538	16.533695	10.389861	9.144223	11.303608	16.558664
26	8.411924	7.782332	7.631932	6.730644	10.358604	9.587270	12.857482	4.230840	11.645121	6.349168	16.118685	8.851447	10.085474	17.661158	16.420078	11.779381	15.689458	10.445238	16.397837	8.621819
27	10.622728	8.980920	3.041735	5.406390	11.920747	11.595394	15.682158	14.465546	6.936070	5.409532	9.585032	7.294367	15.814774	9.760693	15.723677	13.861277	7.757746	10.489538	16.482925	14.008976
28	12.298785	17.357254	11.659210	12.728837	5.917521	11.317137	7.970479	15.572914	12.591788	9.483752	15.787291	16.212009	10.080361	11.590514	15.728504	12.378660	14.542016	11.670167	13.327608	11.503324
29	10.766854	16.999035	15.846552	8.284912	9.728941	10.397754	10.657811	11.460649	12.334227	3.409178	9.419601	11.985260	10.832621	14.729204	12.216740	14.315610	12.347159	14.611297	14.405001	15.204802
30	10.042450	9.643957	10.301809	9.971552	9.973079	9.659798	9.392115	10.391602	9.323345	10.508700	15.825635	20.476316	25.343943	9.115515	20.754719	18.252855	10.656014	16.378290	19.408308	25.464573
31	10.456925	10.153724	9.156980	10.281037	10.833509	10.552567	10.265890	9.339384	10.957995	9.968349	13.478259	20.885544	19.580589	10.783061	19.327765	7.419912	5.354598	22.784975	16.222303	16.739586
32	11.228057	8.871336	11.761343	8.412081	10.292185	10.835076	11.856681	11.268229	9.046834	9.751384	20.973213	5.015953	16.749361	17.454407	8.845558	5.483380	22.417204	20.104033	18.305069	20.045311
33	10.682793	9.500240	10.029543	9.742452	10.447382	8.560861	9.808490	9.686311	11.756271	8.553200	14.810044	3.785360	21.869328	4.053877	12.422396	25.675797	15.097116	12.123902	13.318290	17.760103
34	12.756285	12.325354	13.231373	8.902567	7.081875	10.103417	13.544720	8.935023	8.151178	11.915001	13.058758	15.343113	21.393803	15.246013	14.086034	16.182423	11.117682	23.066254	17.845581	24.398161
35	10.601705	8.168235	14.799397	6.820650	13.062516	11.393106	9.751419	12.487610	7.000994	11.280143	11.020369	20.079254	19.404406	15.922874	21.580997	10.787974	18.130890	17.671106	14.871402	15.699965
36	12.087882	3.521198	14.063658	13.358306	7.591894	7.768615	15.830192	11.515800	10.131598	5.361511	17.098761	19.781227	15.322357	15.188682	22.742418	18.943933	17.038473	20.837477	14.936108	16.794922
37	13.189767	10.912483	6.050862	8.812877	10.047929	7.754150	14.705226	9.761567	4.037654	6.019320	14.828393	11.988501	12.519355	18.838533	14.315313	13.576656	13.980511	18.178501	21.633368	15.387315
38	15.803398	11.041894	6.928935	12.513953	10.069376	17.992010	13.342457	12.858658	14.929545	6.287676	17.118259	20.197964	13.945560	9.895819	13.344152	19.533066	10.739402	10.882931	18.050625	11.856951
39	7.196721	11.123304	10.524074	11.838884	10.118999	11.718602	5.314592	8.017135	9.675277	12.116420	19.980024	18.744093	11.690660	12.929907	10.848879	17.014822	11.479655	12.754589	19.981964	17.376802
40	10.985081	10.254064	9.988675	9.892875	9.141490	10.614580	9.943112	10.456826	10.195416	10.568462	15.711481	17.783657	7.957312	16.018560	5.201767	8.125978	11.452484	3.824874	6.496761	6.263473
41	10.720200	10.358988	9.111361	9.476061	9.535851	9.899080	10.424918	10.314850	9.914159	9.655511	9.654147	4.649244	22.211367	7.582452	11.077522	13.528337	18.904739	16.256805	16.472715	8.384506
42	10.786920	9.288479	11.467542	7.707165	10.195815	11.182130	9.509466	10.058750	7.820501	9.505002	15.186167	7.424928	8.278980	14.745881	8.240926	9.777409	17.980621	7.064995	10.750828	19.094231
43	12.333067	9.449230	11.805350	12.271272	10.555096	12.442922	7.077676	12.068671	12.855682	9.692557	20.420767	17.334414	6.191315	8.173711	16.573143	5.726335	11.376641	10.809108	13.786463	19.165709
44	10.280559	13.243192	8.630291	8.948665	9.669991	10.421823	8.654353	12.964482	10.863669	8.630588	12.327891	10.016798	15.240428	16.955616	14.337960	18.037781	10.773624	18.432619	7.801645	11.120055
45	13.144033	8.701433	7.973138	11.869350	10.124666	10.685184	12.787431	5.174194	5.125771	11.309780	13.667248	12.491732	10.870041	13.666280	10.898662	15.061105	18.779081	11.370255	11.343475	9.365477
46	9.544112	14.123534	16.590298	7.199815	6.860568	8.553512	10.379930	11.322934	8.150512	7.946972	13.532458	14.044291	12.581032	13.485447	10.778553	15.102662	12.457396	13.636287	10.704061	13.420864
47	10.577681	14.717853	11.649779	12.052571	14.692834	16.068430	15.762767	12.056875	14.985257	12.431829	14.366834	9.599407	9.276868	13.300602	9.741892	12.510446	14.499483	13.380848	6.713406	9.762061
48	11.365407	15.558260	6.850688	12.443156	16.151867	5.039404	9.150474	9.065820	3.348260	12.643978	13.673690	12.783646	11.125619	12.209730	10.141128	12.741055	9.902236	11.740142	11.476521	12.850632
49	15.847899	18.622658	3.738431	15.462538	4.143578	11.735771	13.128640	7.537902	4.229195	11.494393	13.072598	12.263733	14.717751	12.538972	11.760269	13.190170	9.246345	13.433187	10.457912	11.695189
50	9.324719	9.413173	10.460953	10.862344	9.581252	10.942167	9.505863	10.700451	9.457864	10.456225	17.611511	12.139738	7.893412	17.689486	17.132683	3.137834	6.383560	20.695610	24.007551	14.635222
51	9.728649	10.057832	10.713568	10.522724	10.317109	9.673141	10.460604	10.449210	9.445919	9.767146	16.819172	26.697039	27.094467	19.248850	9.386736	13.583239	23.008535	22.973057	19.230354	15.257675
52	10.821699	9.696207	7.501964	9.299214	10.903060	11.103856	12.467967	11.649200	8.579963	7.916156	18.989243	6.637640	13.411156	6.386514	15.404767	23.741940	21.553719	21.758051	24.931032	15.163489
53	12.587949	7.214446	10.035694	12.298150	7.018432	8.522314	9.834419	7.627872	9.930323	10.906187	17.201481	9.707054	22.257767	9.543583	23.011763	21.531626	10.247056	7.946590	21.190510	19.092916
54	11.497909	8.482075	13.113745	6.755546	11.207304	6.002413	8.547137	8.891912	14.247750	8.866100	10.913537	15.952340	13.609757	19.079168	19.649782	21.532423	14.794176	18.367395	15.749585	8.554443
55	8.688102	9.238336	9.795263	10.850391	8.521096	13.043498	6.955084	11.845920	5.565383	8.099010	23.657095	15.226973	21.753868	22.520494	18.724390	18.709194	15.615634	12.246449	13.811205	17.573133
56	11.962180	5.265044	8.464940	9.620943	7.310248	7.575155	11.955554	3.223804	4.876163	7.973320	11.855859	11.040192	19.470194	17.659351	15.100051	13.970066	20.878166	8.978233	19.306965	18.739552
57	8.041266	5.593097	9.822475	10.030683	7.854712	15.719631	14.708951	5.527402	9.326695	9.190475	21.546843	15.084648	11.995007	9.418453	13.859369	12.997085	17.982201	21.584793	18.642216	11.595085
58	8.635797	8.209132	12.183086	8.350743	6.060321	3.258064	5.258288	8.783596	3.007826	6.900559	14.112226	17.309805	17.586336	13.518361	12.680222	12.491450	10.150471	14.561560	12.067391	12.659954
59	2.191686	7.240980	13.731948	13.698570	8.937633	1.392385	6.611002	10.337482	5.322312	3.870426	12.695343	13.410599	10.424604	14.817516	13.000231	16.869781	12.617260	17.171190	11.682023	11.574126
60	10.165192	10.637194	10.102358	9.729999	10.343062	9.139289	10.408953	10.295421	9.441927	10.343597	12.389145	21.851006	5.990780	11.214334	16.597507	17.881685	15.950078	8.190884	14.888693	7.206594
61	9.344445	9.207259	10.029391	10.280155	9.831113	9.890410	10.597943	9.715634	10.576563	10.725765	3.437182	16.221464	21.033865	5.448807	13.686019	10.345489	17.242249	17.172056	6.096512	6.154475
62	11.756406	8.447899	9.338890	9.854887	9.178787	12.094782	10.616302	10.229574	9.376811	10.524872	14.619205	9.908204	21.090830	3.625916	13.853477	8.287783	13.381423	11.282576	4.307321	19.897881
63	9.209308	9.623104	9.782081	9.821843	9.202260	8.549348	10.846465	11.805519	8.675632	10.167458	17.897017	15.183323	13.222795	10.010780	21.808146	17.157921	15.259834	17.860182	14.808940	11.906815
64	11.752316	13.556737	9.372351	10.571700	8.742757	11.758303	12.552327	7.363321	8.500934	7.568913	17.370977	16.565058	12.841785	13.636826	14.639001	10.598637	10.905944	17.147326	16.100363	12.830905
65	8.430431	8.835485	11.076487	12.135646	11.669155	10.957134	8.411349	12.736805	11.365745	9.367506	15.490831	19.279179	15.308964	7.285475	10.560261	12.859175	10.400790	13.971197	8.303273	16.457022
66	9.452100	13.552238	13.465304	11.835732	4.593797	5.636359	12.559643	7.372322	13.371292	14.673954	11.116411	14.353493	12.237669	15.035414	8.921295	16.818296	17.646809	9.748255	10.086780	10.061452
67	13.983114	8.733315	10.403900	10.292769	12.888839	10.348618	6.276205	11.369353	9.435271	7.112674	12.067197	14.015375	15.680451	13.545092	12.424050	12.957827	9.808214	16.930613	9.986977	14.407285
68	5.881390	2.456425	10.663990	10.060300	7.931746	4.765148	7.730406	3.679139	4.640590	16.849438	9.953787	12.162469	10.337778	15.248802	13.703442	14.422623	12.428687	10.376747	14.199331	12.631441
69	14.898810	11.897011	6.657940	6.729427	11.938951	15.852203	10.722988	11.306453	11.174798	16.889296	14.630134	13.311114	14.639996	10.674360	15.604253	12.965106	13.412640	13.952264	16.062731	12.025583
70	10.618442	10.140945	10.372279	10.012059	9.856605	10.373764	9.721498	10.588139	9.678967	9.420079	2.519154	10.340672	6.486064	19.149481	21.618410	12.958351	23.086052	17.271280	12.072729	5.485454
71	9.922450	9.721121	9.787217	9.600034	10.314681	9.799659	9.196218	9.319265	10.579638	10.318632	27.785307	7.835363	23.101248	11.193221	22.014629	18.654625	20.730619	8.146710	9.547745	24.453981
72	11.584897	8.847563	7.574436	8.130631	11.363301	10.959687	7.936971	10.858259	10.114992	10.966304	22.918655	3.190399	10.556654	20.511820	7.894819	11.764484	13.578818	7.854741	18.454075	14.700610
73	8.652401	8.615419	11.360382	12.209811	9.277530	10.277782	12.461436	11.566766	12.536077	9.360286	10.426560	23.147718	6.857800	8.522972	19.512785	24.428658	8.141488	3.802231	21.480875	19.033001
74	11.257683	6.672586	7.530459	11.773917	10.754858	6.249608	12.339475	11.262974	10.729113	9.844165	19.979328	7.202502	9.466038	14.352225	20.819578	18.307631	15.793209	14.977976	7.599332	9.258257
75	6.963906	8.448145	6.667628	8.147069	8.490764	11.849207	9.934409	7.488975	7.062118	7.252594	13.756365	7.027110	22.809174	14.587327	7.421456	17.657137	12.927601	9.032413	23.377470	17.542706
76	7.544038	9.273660	7.032813	10.394497	10.267568	9.049320	10.337337	12.749750	13.381899	10.139802	14.331472	16.315468	21.213854	17.167824	21.408848	18.786655	8.366975	15.546753	18.153484	19.090694
77	9.550458	6.218817	9.112128	10.544673	5.355477	5.774018	13.210616	10.362552	12.092214	7.032928	14.591806	22.589777	19.728098	12.071765	16.675421	16.135246	21.521767	12.367975	13.238529	20.543221
78	10.818160	6.377285	7.352630	3.711712	13.451038	7.906641	11.135324	14.703589	11.638584	12.342189	14.740093	19.109921	18.790760	17.772005	17.490541	13.704789	18.452774	16.661777	16.195164	18.531534
79	17.871864	9.053932	8.647458	17.595829	3.507884	7.259750	12.698576	4.598131	14.653050	6.943808	17.732628	11.806165	16.986681	13.095054	18.680046	18.921101	13.311062	9.362448	11.618077	16.336927
80	9.817236	10.041680	10.075628	9.906030	10.779821	10.497230	10.360656	10.777216	9.853734	10.422971	2.727244	11.430738	18.954947	9.362577	2.512818	18.072086	12.546423	19.153214	12.513008	4.448055
81	9.955769	9.672183	9.899179	9.766636	10.624646	9.941793	10.267070	10.008689	9.583542	10.077135	3.216289	10.551840	10.398729	15.979653	8.876571	18.300236	2.535197	17.268044	3.166185	13.236480
82	10.031892	11.269653	11.552975	10.791009	9.311981	11.095059	8.420500	8.598863	10.501950	8.495921	7.684273	15.716879	4.673083	11.308002	19.631609	15.732761	14.401569	7.672064	19.776411	22.009209
83	10.213617	10.046676	8.799334	10.546325	8.867517	9.948754	8.865355	8.274883	10.462726	12.340837	17.153296	18.660521	10.278343	13.131804	15.045891	9.663474	9.726758	21.856791	9.256431	21.680212
84	12.058704	11.699495	11.130623	8.798342	10.368824	12.507988	7.295083	13.841743	8.018228	8.762337	13.200394	12.204517	15.509451	17.248226	8.707219	11.094543	13.231960	5.685813	6.715603	5.984468
85	10.481059	13.266613	8.530079	8.087443	12.453882	5.867962	12.888680	11.734027	12.270287	8.534568	10.586859	12.723211	10.373142	17.482042	12.107431	8.051569	11.272992	15.095671	15.578340	6.913481
86	9.556973	14.269074	15.386330	8.623922	8.474175	7.215302	12.606632	5.150128	12.396143	6.813918	15.132362	16.087990	17.217827	14.121254	15.587634	13.975175	10.705720	11.509016	11.574718	13.691832
87	9.460761	8.464330	6.014418	13.951052	4.840655	13.789323	3.824892	13.143903	9.880075	4.734807	16.001467	12.611823	8.017630	8.868453	9.076385	11.941376	15.388663	10.025578	12.898001	16.990501
88	5.819695	4.940181	13.505799	12.083843	7.531824	16.031334	6.936748	8.646821	8.402693	5.840403	10.276245	15.492031	9.530631	13.440716	13.056062	12.878420	13.988894	11.846309	14.105516	11.888484
89	2.690559	7.359909	2.308016	7.286405	7.669085	15.388541	7.146219	14.023926	13.119618	5.186170	13.454148	15.792719	14.434404	9.500960	15.664352	14.048993	10.419409	11.656327	12.271867	9.866863
90	10.355010	9.763746	10.780796	9.561281	10.623817	10.377389	9.868364	9.483899	10.660977	9.651743	11.274430	8.797347	3.673429	18.393162	5.014102	4.438540	1.403028	17.305841	14.545533	13.019681
91	9.862515	10.316402	10.190447	9.203665	10.045296	9.589209	10.823269	9.422299	9.448627	10.923149	25.830072	15.724988	10.570472	13.353178	8.864367	21.748867	4.438804	20.453934	16.877403	16.791618
92	11.035553	10.405564	10.644024	11.581778	7.878768	8.736935	10.950393	9.095703	8.602217	9.886977	21.482243	16.163185	13.215576	8.495284	9.714798	3.993659	11.653748	16.869326	12.582516	10.063582
93	8.193702	9.690969	7.964716	9.785300	9.368313	8.613219	11.340631	11.747931	10.248622	8.543108	21.820477	19.460882	8.083942	22.817047	16.092245	17.907991	18.209713	18.816391	19.326155	20.225075
94	13.338535	13.178938	6.437244	11.345725	7.416811	11.022092	13.632518	8.442857	7.409220	7.186481	18.182199	12.826131	21.556360	13.519389	18.244925	8.126149	15.518134	23.116060	20.904835	7.191098
95	6.172945	7.103695	10.689380	12.584778	5.853109	10.121363	8.409992	12.864671	6.699656	10.586075	11.253452	6.271909	14.479511	19.598993	18.846489	13.964445	16.263863	18.921652	21.402393	14.567627
96	7.731012	11.038385	7.326947	6.474432	14.806158	7.564646	9.235787	5.211714	7.618246	9.616640	18.949802	9.255733	15.734423	18.041130	17.144312	15.474201	18.287870	20.825325	13.319161	15.218160
97	14.129494	6.449180	13.192745	10.344558	12.909264	6.117734	8.186822	11.363186	8.386303	9.573525	16.044073	18.864237	11.661138	14.659399	15.717615	17.755676	19.379959	15.252079	8.922197	12.941518
98	13.100572	5.035308	15.123013	8.333096	5.378588	10.270411	15.365318	5.331555	9.568289	7.372763	15.671878	17.923727	13.850452	15.301388	16.710915	13.597199	13.100932	10.769579	19.776320	14.449645
99	7.889757	7.939466	15.188459	9.720107	4.602859	18.019875	12.335680	15.511600	8.217993	5.546383	18.411955	17.760048	16.895203	9.104697	15.428542	10.982084	12.381110	19.156801	13.274565	18.026903
100	9.827637	10.227192	10.149689	10.070094	30.612942	29.417747	29.830524	29.970665	10.096753	30.705496	29.955978	29.992952	10.833578	30.040939	9.535365	29.657320	29.818043	9.863396	10.686104	9.741073
101	10.435884	9.664426	9.936200	9.989680	10.091866	9.877156	10.521809	30.224119	30.129335	29.760773	30.346157	9.664740	29.864542	29.912445	10.208899	29.934721	30.166908	30.448093	30.723658	9.722133
102	29.386723	29.393143	29.348106	30.313351	9.838264	29.629303	9.550022	29.359028	9.321270	10.376419	30.692686	9.901768	9.638710	9.647681	9.945110	29.771646	30.325010	30.542261	9.413745	10.599195
103	10.425298	9.854419	9.732927	9.438861	29.894503	10.384501	29.456425	30.672974	30.128466	10.729023	29.122316	9.653887	30.549664	30.710337	29.923491	30.024025	29.099916	9.407698	9.940268	10.562139
104	10.555110	9.693422	30.681450	29.866064	30.204971	9.200369	29.043589	10.722379	30.032860	9.288904	10.657078	30.472460	30.650467	29.870836	10.632592	29.410889	30.335297	10.508782	9.297565	10.554795
105	29.601938	30.130501	30.694614	9.541162	9.759879	9.205410	9.802563	29.265455	10.267261	29.860880	29.956724	9.437808	30.688168	29.318254	10.362391	9.537821	30.201397	9.566491	10.111045	30.595657
106	30.986494	10.047553	10.567464	10.006576	30.384914	29.595594	29.083151	10.239677	10.355952	29.029982	9.694195	30.725033	29.155632	10.878677	9.352345	29.622738	10.234629	10.742153	29.460669	29.382097
107	9.578358	29.164923	10.720984	30.484835	10.471906	29.338631	29.300787	29.253952	9.643813	29.250233	9.185747	10.153081	29.735830	30.519743	9.568042	30.496582	30.244858	10.753881	9.845632	10.769395
108	30.387550	29.432148	9.567694	29.891787	29.122005	9.663243	30.743452	30.046684	30.210838	10.258864	29.607220	10.234447	30.580591	29.243965	10.857042	9.767523	9.262819	10.839632	10.213773	10.224877
109	29.617348	30.004948	9.582662	30.273203	29.583887	9.475785	9.443542	30.410368	10.847923	30.028709	30.480892	29.509951	9.792436	29.485050	10.323571	9.228515	9.336629	30.674738	9.250653	9.568377
110	9.772864	9.723274	10.663981	29.542187	9.090538	9.791203	30.464542	29.449490	30.087994	10.648509	10.609986	9.094126	30.267897	29.954000	30.431686	29.284355	9.635813	30.230064	9.380298	30.067701
111	30.508226	9.212623	30.079287	10.271123	9.862594	9.353477	30.736320	29.780632	29.547886	9.784214	29.483488	10.459366	30.756426	9.527860	10.604616	29.981722	29.926828	10.342887	10.274557	30.719236
112	30.661858	30.929621	30.493315	9.323889	9.858918	29.714100	10.436383	9.202809	10.868968	10.243795	29.103317	10.896786	10.498922	29.608099	30.588806	29.860304	9.657936	29.486746	30.162807	9.873967
113	30.173826	30.829794	29.852959	9.362546	10.580439	10.352136	10.843573	29.917585	30.241278	9.392007	29.890882	10.680810	9.217405	10.110450	29.309895	10.757594	9.549844	29.882278	30.763779	29.946871
114	29.580435	29.218224	29.451921	30.245766	29.647385	10.326982	10.383833	9.478916	9.743306	10.076899	29.427855	10.976068	30.412567	29.586155	30.277679	10.099385	10.310189	29.461420	10.211805	10.251254
115	10.658162	29.086782	9.252553	29.527548	9.740369	29.349218	30.045465	9.539303	10.796946	10.211882	10.334967	29.841875	9.440443	30.586632	30.166803	30.294884	30.420519	10.134183	29.964397	10.600835
116	29.911133	9.497886	10.100869	9.032029	9.162767	10.356884	29.678389	29.568441	29.938278	30.053856	30.155071	9.509568	30.250027	30.527958	30.015060	10.158100	30.030190	10.190782	9.670177	10.368499
117	30.918882	9.552058	10.140259	30.265940	9.203985	10.068265	9.396270	30.333855	29.666794	29.126247	9.271976	30.291010	30.121017	9.590213	9.447517	30.734804	9.856382	30.002926	30.065815	9.611538
118	10.465682	9.626213	30.522081	9.254584	30.875906	29.933752	30.859222	9.336762	9.841453	30.051514	10.592253	30.506931	10.790474	30.404367	30.008877	29.643724	9.875002	9.845487	10.128061	29.516260
119	9.919011	29.499321	10.535027	9.639304	29.960384	30.134951	10.312956	29.938725	9.538402	10.360818	10.227783	29.384848	29.683872	29.287313	30.857071	30.130764	29.747248	10.256739	9.272974	10.021891
120	29.679739	30.381813	29.585968	10.085022	30.806080	30.655041	10.710063	29.911940	10.457590	9.529084	10.633673	29.538742	29.498066	10.015071	29.723188	10.437509	9.594440	10.327716	29.844603	9.243727
121	29.555048	30.324415	9.899961	9.772861	30.694798	30.312582	29.520998	10.420054	10.216363	9.537131	29.979839	9.626011	29.281067	10.358789	10.893823	29.816141	30.547819	9.698100	10.790867	30.193289
122	30.247679	30.271355	29.361193	29.629068	10.679157	10.276807	29.756647	10.429031	10.022366	10.647464	30.291403	29.486452	10.179852	29.933754	10.178838	10.604534	29.803179	30.547920	10.849473	9.834845
123	30.131876	30.561520	9.573442	29.965044	9.334119	9.883511	29.047537	9.937871	9.636254	30.128553	29.869448	10.185349	9.563312	29.520569	30.544664	10.247191	10.241760	10.310164	30.454178	29.302423
124	9.642912	29.731525	29.407228	29.815708	10.337873	10.912263	29.588541	10.400643	29.762087	30.074816	10.316404	29.288441	10.482016	30.604462	9.724857	30.071390	9.754872	10.402019	29.514927	9.608308
125	9.926385	29.846598	10.340269	29.342178	10.279304	29.606621	9.043291	29.356754	30.348875	30.517366	29.479956	10.157629	10.610299	30.618004	9.880070	10.716825	30.209021	9.416688	29.975857	10.206389
126	30.069286	9.269295	30.141983	29.936394	9.188605	30.313503	9.420714	9.527507	10.266824	10.717685	10.140619	30.691586	30.367094	9.727390	29.888119	29.958342	30.123592	9.628445	30.316925	9.117183
127	10.091441	10.765269	10.768221	29.923973	30.491671	10.293864	10.441214	29.271578	29.326313	10.195768	9.808345	10.472219	29.921547	9.401526	30.380898	29.352381	30.428831	30.499968	30.256390	10.246327
128	30.074785	10.646128	9.666349	30.295029	29.755365	30.448889	30.246241	29.970577	9.426753	9.483206	10.163521	30.709766	9.192204	9.890719	9.721910	9.684211	10.129556	29.363329	29.926373	30.213757
129	9.479059	9.330784	9.569339	10.153394	10.710093	29.139641	29.222506	9.936131	30.510775	29.696310	29.313404	29.243975	9.451370	29.753288	29.015162	10.554342	10.160580	29.578876	30.265415	9.902791
130	30.175655	30.453854	9.114584	9.930594	10.776928	29.881401	30.825205	30.845753	10.536438	10.651730	9.338895	29.334236	29.243040	30.212084	29.601110	10.201525	10.054814	9.917575	9.689395	30.098173
131	29.547831	10.081997	30.183144	9.479634	30.574421	30.772734	10.337499	10.410481	30.104635	9.907199	10.207606	29.534151	30.272028	30.147036	10.188122	10.064997	9.268243	29.903893	30.271160	9.347732
132	9.590558	10.561679	10.106090	9.639682	29.530006	30.585255	9.342679	30.061438	29.932972	30.662846	10.034735	10.181624	10.052248	30.463409	30.733454	29.971874	29.602207	9.336520	29.253185	9.233613
