#		simf_A001	simf_A002	simf_A003	simf_A004	simf_A005	simf_A006	simf_A007	simf_A008	simf_A009	simf_A010	simf_A011	simf_A012	simf_A013	simf_A014	simf_A015	simf_A016	simf_A017	simf_A018	simf_A019	simf_A020	simf_A021	simf_A022	simf_A023	simf_A024	simf_A025	simf_A026	simf_A027	simf_A028	simf_A029	simf_A030	simf_B001	simf_B002	simf_B003	simf_B004	simf_B005	simf_B006	simf_B007	simf_B008	simf_B009	simf_B010	simf_B011	simf_B012	simf_B013	simf_B014	simf_B015	simf_B016	simf_B017	simf_B018	simf_B019	simf_B020	simf_B021	simf_B022	simf_B023	simf_B024	simf_B025	simf_B026	simf_B027	simf_B028	simf_B029	simf_B030
id	c0r1	c0r2	c0r3	c0r4	c0r5	c0r6	c0r7	c0r8	c0r9	c0r10	c0r11	c0r12	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	c1r1	c1r2	c1r3	c1r4	c1r5	c1r6	c1r7	c1r8	c1r9	c1r10	c1r11	c1r12	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i
10	7.867844	9.154576	12.579319	7.536713	13.068408	13.579295	10.921374	9.773779	7.415501	6.906996	8.565484	8.830462	8.185252	11.469893	9.497092	9.286368	12.487968	7.689938	9.546906	10.784804	11.517033	11.280568	13.471586	9.132133	5.927091	9.535835	13.485048	7.842755	11.952186	8.622506	14.555060	7.193191	14.175037	8.199365	8.813998	14.015168	11.047738	14.082585	12.856365	7.370848	16.665171	14.498060	12.810713	10.734875	8.479127	16.117012	9.404119	13.618996	11.250546	13.767854	13.740865	13.574515	15.776887	14.663004	15.343330	13.023297	15.029706	11.555064	14.812873	9.031368
11	12.637487	10.005481	7.647575	6.774349	12.980970	5.925347	9.629516	9.566404	11.697584	10.649343	12.407603	13.532440	8.410096	6.360582	6.790207	10.839556	10.781689	13.868235	10.644247	6.651472	8.122266	10.723656	9.088894	11.701985	10.284764	6.188489	9.698645	9.633063	8.648739	11.130917	9.371635	13.455065	10.795205	6.644069	13.069370	9.864039	10.943704	17.034029	11.243819	8.698319	10.543225	11.252342	7.985585	14.116727	11.575038	12.317570	13.555139	14.462193	11.365366	11.130903	7.496333	17.221207	9.352051	8.460640	13.947971	13.831668	13.925179	12.225884	10.081830	8.883280
12	7.616360	9.499782	12.804461	8.480329	13.565202	8.772278	8.221722	12.502819	12.894697	5.509396	9.942042	9.872152	8.325255	9.009987	9.848290	10.281142	9.172843	9.820951	5.520214	13.898899	11.910676	12.623145	9.908277	10.913063	9.240691	5.366574	10.199489	13.401215	11.945478	9.764505	16.345512	15.275275	13.272119	13.420426	10.104677	13.854198	13.093362	11.734807	12.934202	15.272295	11.452979	11.155435	10.382659	14.648023	16.151630	11.255921	14.508451	7.228997	16.312695	10.481975	12.181365	13.324734	17.780764	14.360748	11.016586	14.118409	7.819442	13.095486	14.953082	15.135147
13	8.941536	9.838941	11.060787	8.545232	11.487629	9.639049	4.679071	12.498706	14.327239	10.670735	14.112910	7.899803	6.682729	12.801223	11.358991	10.206950	14.012332	9.348743	10.807765	13.990394	12.626440	11.713195	10.327705	13.408548	6.472130	11.867870	9.812366	8.006926	11.173210	7.729008	9.014434	17.634647	9.693244	11.758393	9.050795	13.244534	9.028714	11.910634	7.307820	13.221316	15.622147	6.664810	13.979667	9.292617	15.255866	13.235204	7.245031	10.454851	8.768042	12.524919	6.608715	7.958104	11.266085	12.809369	14.063386	10.838134	9.188164	14.731205	11.152740	7.347525
14	14.917540	6.125318	6.797096	7.313773	10.978000	8.309523	15.499168	5.695947	7.235935	10.311443	7.804374	9.149632	6.350960	11.153088	9.481769	9.777879	11.237880	5.173399	11.119152	14.112880	12.044723	7.416424	12.854922	10.932403	10.927921	9.104559	9.455142	7.127834	11.140858	10.994674	13.873369	7.810740	12.753047	6.164965	10.862582	8.918935	12.408778	14.620000	12.745160	6.977777	12.258483	7.565337	9.592489	13.439188	8.285835	15.542987	10.681565	11.248414	11.372534	9.045133	9.450483	16.186045	11.213209	13.786963	7.609186	13.413955	9.884773	5.886718	15.975112	7.516459
15	6.427654	10.784728	11.305421	7.549540	9.405703	8.743188	13.746106	6.141746	4.192307	5.854409	10.876040	12.251592	8.279666	15.674934	10.176033	14.372315	12.042686	12.435795	11.214656	7.212713	8.747272	9.928273	8.640763	8.632310	9.588109	6.529880	11.287384	7.746248	12.747673	12.425385	15.650566	11.643559	16.427116	8.506411	10.085955	13.959055	15.993778	17.181137	10.913732	11.081958	9.571878	12.701660	11.630545	14.460132	10.315265	8.296913	9.533179	8.730875	10.969606	13.396445	9.819438	5.125563	15.139360	16.332127	11.464956	12.400887	12.441012	8.657866	12.335711	8.812961
16	9.144955	9.241798	11.333724	9.241275	10.702976	5.541069	15.732017	13.539941	5.860603	11.670490	12.364049	11.762683	6.589463	7.744118	11.462633	10.603843	15.584267	15.381801	6.146037	7.746173	12.051095	14.225093	4.736050	10.810381	8.398545	5.081035	13.812184	13.684132	9.342325	13.431726	9.606950	7.250669	15.785627	13.788281	18.355747	8.076955	15.043727	10.578790	11.731102	9.600568	13.292876	18.319923	18.332767	8.797230	14.366790	9.459301	16.415255	7.212566	4.696624	13.115785	10.304865	9.826935	15.862648	13.939028	11.950364	17.687103	16.534878	9.497827	6.409704	10.674040
17	14.790382	12.178600	5.623025	4.896359	15.115885	13.360487	10.057172	6.077576	12.673709	10.718155	10.551983	12.703850	11.750567	5.364028	16.055264	9.047532	4.857947	9.039320	8.455269	6.057298	5.940183	10.142445	10.747349	10.007398	14.548465	13.287880	8.565820	8.047677	12.760906	10.379026	7.876221	16.029011	6.119174	12.094056	9.736112	12.852861	7.538888	17.621864	12.822972	6.649050	15.082728	17.884846	11.593530	13.610905	7.095478	9.574728	6.910878	12.049048	14.191804	8.830572	11.461581	12.963852	14.172413	15.204657	8.527166	17.415781	5.879091	13.708631	19.939293	11.811071
18	8.096948	4.764071	9.663657	12.176251	13.969519	3.164818	9.880424	9.037974	13.585050	7.230006	9.570421	12.215443	11.074086	14.923349	3.684230	7.879578	11.586751	11.358316	16.450932	12.146923	8.044912	13.827917	14.538930	7.141838	15.739290	7.426226	13.376223	16.707478	15.054976	11.230503	6.227355	12.936599	14.842617	17.025425	8.344396	14.270597	13.610847	12.372323	6.891193	6.311678	9.088449	14.522652	9.982501	9.796522	17.731321	13.040804	9.010285	4.530487	9.715083	9.758885	16.056499	12.958153	18.907312	5.538958	12.361192	5.469058	5.603407	11.236234	6.690459	12.622594
19	5.340447	3.327888	14.815514	11.814219	11.665361	15.935836	8.361282	17.637421	9.176167	6.029315	12.380070	14.329849	6.382343	10.977317	5.764758	3.068931	9.089576	15.747317	6.641345	6.810671	8.323009	9.509145	7.430208	7.462055	6.483265	16.212606	14.036525	12.439722	13.260273	7.883321	18.125706	5.774746	4.447902	13.832068	13.465958	16.814262	19.538582	17.415649	12.314724	3.261603	6.897944	17.278515	14.453290	16.413488	12.201367	9.964921	11.287683	8.445191	20.524790	7.085731	4.445620	6.800012	16.792551	15.064179	8.313042	15.481672	18.008410	4.476394	5.621099	10.005406
20	11.178372	7.680526	8.577508	12.445700	3.711886	12.094183	9.837457	7.301108	17.059338	5.447979	13.064932	6.081207	12.912920	16.669983	7.918618	8.262361	14.275801	9.923601	7.191583	9.605963	13.217498	14.869015	10.155080	15.308595	7.707793	11.254595	10.681220	16.412283	11.595487	13.902936	16.518248	9.584229	9.824417	12.643467	11.705837	11.645254	8.012297	12.634607	14.498797	19.916651	15.584796	9.989422	13.285348	16.024065	14.512730	3.505767	17.120380	15.277149	7.295794	17.301167	12.790564	2.383648	10.793952	11.880310	7.002013	14.926341	12.880576	2.765774	8.704780	10.457065
21	1.793924	11.978827	9.183726	8.813003	5.099084	11.348566	8.882229	9.355451	14.012922	11.955479	8.546867	11.694427	5.192115	14.458035	10.478829	15.524974	4.039862	13.202275	1.819386	9.307225	10.912568	11.450118	8.465634	4.331131	12.002547	3.284370	4.950179	14.927735	13.105452	3.889467	11.857287	22.050262	11.030661	19.366650	4.243853	8.546461	19.845913	4.485045	6.636652	13.563612	13.175263	9.963683	14.778792	16.841303	7.982898	4.946870	17.582346	21.464823	7.672964	10.470588	19.993761	17.367809	9.085065	18.088860	17.104824	17.619358	11.476420	15.426019	6.922768	2.515877
22	2.898115	14.791280	13.452371	7.232162	3.137780	13.909473	9.549292	11.101808	10.690678	5.162506	1.666829	7.850214	3.672602	15.281121	8.490859	1.878641	9.367066	8.880435	12.341753	3.233514	3.247598	15.755364	4.714328	7.048922	15.197661	16.000477	17.646154	16.128317	8.395714	10.205802	13.442801	1.543062	7.642098	19.093843	7.538402	18.165588	19.593807	20.288214	17.582575	17.744110	16.082458	6.082679	18.710049	1.192694	12.233824	8.734256	3.597639	19.693790	16.114712	19.874136	5.499157	14.308345	6.515016	12.383560	15.319954	18.762728	20.037271	12.923365	15.383215	7.747837
23	14.001321	6.026191	4.750635	10.509908	4.444283	1.146173	8.234036	9.919414	9.395230	1.024992	10.111197	15.318680	4.530824	10.918363	14.708035	12.883710	3.021581	9.714434	16.581846	16.029610	19.089516	7.820929	12.510147	6.351694	11.940991	12.117062	10.657175	8.077268	12.343150	8.218138	11.491940	13.216801	17.644913	3.478974	18.514862	22.836542	16.980713	22.422771	3.493207	9.474489	12.717778	7.323925	12.755749	6.644251	12.815192	20.301001	10.066737	16.892605	9.698745	11.515822	20.945026	5.891335	11.196255	15.672133	19.424810	11.254693	9.721644	11.380955	4.350040	5.940747
24	4.590804	19.134920	13.579219	9.155260	6.174269	10.846184	16.435049	15.286284	8.106443	5.569023	3.947769	8.947860	12.089733	5.925024	8.739908	5.226127	10.484296	8.413424	15.954917	6.616938	10.578735	11.085578	12.926285	11.165586	11.196245	12.361989	10.560815	10.267540	3.094584	4.659983	12.895460	15.541295	15.333508	16.607813	17.374714	9.017817	22.184696	0.410323	9.270711	16.975380	16.527121	12.946717	12.427800	20.914516	3.323871	0.884301	14.377188	0.467325	12.948827	3.679837	3.842772	17.754086	20.507225	19.861574	19.985939	9.912553	10.421427	19.460907	14.723270	7.529162
25	10.019856	10.275664	9.803966	9.756756	10.217981	10.139558	10.350625	9.907530	10.305789	10.194921	9.610190	9.763350	9.910753	9.768252	10.115169	9.875387	9.986343	9.867996	10.108879	9.917529	9.844314	9.825805	9.747969	10.102962	10.267106	10.236760	9.903560	10.066460	9.712955	9.948772	13.399080	12.650592	13.118484	13.300088	12.744545	13.161392	13.245121	13.086395	13.082736	13.137755	13.276677	13.420189	12.741015	12.802537	12.931993	12.825752	13.167012	13.402640	12.816498	13.219451	12.911745	13.215023	13.153892	13.225763	13.262469	12.823231	12.672267	13.039170	12.907920	12.619677
26	9.751689	9.564856	10.232492	9.700477	9.304916	10.543279	9.892167	9.853518	9.808591	9.927204	9.940169	9.445012	10.644645	10.022782	10.377300	10.506557	10.220314	10.711886	10.307978	10.351096	9.430310	9.972536	9.352488	9.822500	10.181418	10.044119	10.520826	10.261381	10.592620	10.737091	12.759901	12.488721	12.604307	13.940688	13.260793	12.318898	12.750891	12.314258	12.454563	12.813000	13.400472	13.287356	13.585893	12.401218	13.353643	12.063435	13.357182	13.804892	13.343666	12.548258	13.830117	12.470338	13.419263	12.817421	13.377545	13.047727	13.834769	12.096066	12.546375	13.007314
27	9.858284	10.245410	11.098503	10.619865	10.159112	10.353701	9.848550	9.453326	10.268910	10.140984	9.166439	9.723580	9.580678	9.610169	9.113576	9.769772	10.603818	10.747955	9.954164	10.649402	11.047449	10.640870	10.674802	10.305942	9.278078	11.007416	9.196754	9.619870	9.458393	10.635620	11.736830	12.550207	12.543074	12.466164	12.608689	12.421880	12.566865	12.156719	12.221755	14.266224	13.487991	13.998019	11.998160	13.572157	13.358443	13.026255	12.455326	12.960545	12.330662	13.301429	13.615456	13.280565	12.490359	13.388527	12.093692	13.297772	12.850329	12.793195	12.484438	13.809895
28	10.484694	10.347329	9.651504	9.668046	8.629251	10.072666	10.778374	9.348874	10.259768	10.659527	11.094454	11.168077	9.959914	10.879501	9.341853	9.340434	9.701775	10.984076	10.975567	10.093271	10.277164	11.082006	9.907920	9.338020	9.374354	10.281820	10.728521	10.344005	8.963305	10.048628	12.525148	14.947008	14.512455	12.016006	14.306158	12.438643	11.350146	14.183570	12.193622	13.815772	13.823111	11.759564	13.808201	13.878117	12.830314	14.150337	13.638620	12.676600	13.279532	13.923702	14.197524	14.428512	13.456556	13.105289	14.476581	13.163478	14.469599	13.634480	12.005791	12.106436
29	9.132254	9.131206	10.136875	8.820121	10.960967	9.231371	11.565493	10.446386	10.863544	11.532997	10.909698	11.039892	10.809790	11.952602	10.309711	9.747005	11.584073	11.491423	10.522668	9.071854	10.771576	9.216554	9.714973	8.283067	9.814651	11.101779	10.009315	10.424011	9.266928	10.778883	11.222795	12.755568	10.525794	11.793222	12.962839	11.832744	12.296208	12.569591	15.004196	12.741026	10.556490	14.801314	11.769197	15.018130	13.105471	14.127810	11.324171	14.698243	13.375257	13.834899	14.835940	14.742341	14.188544	12.621402	14.787454	13.643740	11.279634	13.646959	13.456808	13.537619
30	9.999015	9.814397	10.331181	11.419431	11.594800	10.950826	9.921989	8.602732	10.507547	8.406315	9.036229	8.938038	9.070626	8.979804	10.053127	10.673460	10.723886	12.279800	10.796112	10.218927	9.498329	10.354492	10.370151	10.487095	10.290287	8.990616	9.231180	10.016211	9.089171	10.426867	12.419705	15.454774	13.425880	14.661278	14.609130	12.107065	12.866162	12.294997	12.481673	13.447380	14.695827	10.656439	12.760147	13.854046	14.852926	12.842247	11.685991	10.280068	12.723348	14.617591	14.440962	11.880161	13.166668	12.347537	13.192679	14.734411	15.508080	10.641006	12.577638	13.096788
31	9.555319	9.346891	10.264105	9.439898	9.027408	11.466352	8.424393	9.014817	10.535738	8.683125	8.069531	8.853458	9.892222	10.660492	10.661409	10.988107	8.800178	12.031583	11.493541	11.166739	10.049589	9.614791	12.044315	10.546747	7.452235	10.340749	11.057652	8.943246	9.255283	9.185468	13.991771	10.916000	10.646376	11.650221	14.062708	15.126503	11.954854	15.536573	14.495611	13.591897	13.056421	13.221447	15.116051	12.128410	11.943458	11.269986	13.203074	13.024852	16.053881	11.098956	11.432886	15.428537	12.962256	10.674236	12.181228	14.006721	12.381070	13.257931	11.375837	14.610498
32	10.766672	10.330192	9.093397	6.838168	7.883921	9.107181	11.010037	8.153428	8.906088	11.889457	7.780450	7.457631	8.281497	8.666746	11.199182	7.529787	7.666080	10.010221	10.872490	12.497700	10.890772	9.796227	10.040527	9.541822	7.266329	8.188334	8.015607	8.779727	7.364813	11.455433	13.889644	14.811996	15.138051	12.407706	12.437386	11.097835	14.543860	11.372981	15.348631	11.518275	13.876987	10.111471	11.362127	12.924644	13.806234	15.219675	15.081571	16.836273	16.506538	12.991889	13.479596	13.839540	12.585213	15.487126	14.603125	13.697450	13.046731	12.995384	9.786366	13.910869
33	10.315145	9.498704	7.888587	8.117558	11.587785	12.565181	11.615080	10.968040	10.023826	9.430507	13.104385	12.490113	11.482373	10.961084	12.508765	9.663021	10.102061	9.727804	7.373185	9.664431	10.516343	9.191620	8.433704	10.054218	8.043422	9.668165	10.480208	8.353903	8.873999	9.211485	8.661545	10.300474	13.603031	12.597921	14.437498	13.527893	10.354913	12.265903	16.946875	17.120089	11.012998	13.132958	9.060057	15.025949	15.170105	9.163572	16.063717	13.931879	16.734535	10.009571	11.552918	16.053265	12.270561	13.143073	13.281544	11.039172	15.416801	13.712505	13.840763	12.753185
34	12.773752	10.782850	12.676188	11.132998	9.722922	9.309618	8.543791	12.074484	8.813485	11.605216	9.668097	9.703914	8.961020	8.506292	10.657202	7.869059	10.271465	10.314047	13.204415	10.304894	11.968843	12.430394	10.931814	11.042625	8.697190	11.064384	12.783019	10.454507	7.171408	9.772972	10.185372	15.299085	17.129097	8.951832	14.635448	12.211291	12.959448	14.200591	11.080832	16.240250	15.614143	8.679919	8.142217	15.236233	13.721287	10.289635	12.120651	10.215471	8.843897	12.808612	13.384829	10.003366	10.566490	14.018153	11.722169	13.601108	13.212537	13.965570	15.195312	11.667756
35	11.807096	6.758707	6.420936	12.523861	10.565671	9.186813	11.238880	9.417443	12.968978	9.916599	13.297332	11.497427	9.751515	13.850802	9.075624	7.698426	5.889487	9.455154	11.096578	6.547169	13.554141	8.294730	10.415834	8.290539	6.856963	10.667970	12.982964	9.713322	6.518826	13.578793	9.045621	8.178903	16.225742	12.204357	12.634520	12.242266	16.179396	14.925379	8.301339	11.328715	14.164943	13.957854	12.887806	15.096180	14.589455	12.576674	17.830053	14.184658	9.866676	12.626525	9.536206	16.231791	12.973233	12.800905	12.064113	10.293041	12.824740	8.537880	14.480659	16.905384
36	10.213671	13.386829	13.863001	14.022196	7.913097	7.789598	7.189428	10.333424	11.873387	10.058841	12.756267	7.689835	11.988713	8.579048	9.088493	11.758142	9.879085	7.271254	11.151658	12.164178	9.898107	11.055829	9.516456	5.475143	13.662829	11.284840	10.099629	8.092693	8.187160	9.652393	14.542449	16.391073	12.957765	11.375181	14.753717	12.690410	8.473012	17.633579	13.501685	10.231987	9.479729	9.167432	11.096588	15.006638	11.781488	12.275202	14.418603	15.507518	9.055556	16.180096	17.134571	13.211605	16.116829	13.095513	11.359597	10.618126	12.553928	12.076382	12.465718	16.148621
37	10.704041	6.056781	10.745700	7.276354	9.842731	9.995217	11.485390	7.465228	12.333146	6.503995	13.402395	7.528286	13.176544	12.775740	11.861706	11.881298	9.252137	11.913828	5.471858	9.637433	11.380364	14.741351	12.922197	9.529548	11.037440	10.381420	10.906631	6.869212	9.699985	6.212485	16.298737	16.974625	7.976362	12.803679	17.644983	11.708621	15.362837	14.533259	11.929252	11.415429	16.634550	13.427930	10.285658	12.400829	14.461445	18.852375	14.313763	14.549575	8.498392	13.910699	14.295555	7.879751	16.324505	8.673198	15.991202	8.253956	15.180434	12.721622	12.191714	12.591280
38	12.463616	11.680123	9.941296	6.015478	5.049382	13.351706	13.442577	14.113350	8.026456	5.633081	14.397052	10.545501	12.423594	13.706184	13.119030	12.112930	13.918553	15.314138	10.003448	8.080518	6.642505	6.543132	7.198302	8.814077	11.238804	11.066574	6.791661	8.437057	7.175729	11.931352	7.289736	15.095169	17.914938	12.855189	13.090616	14.742712	12.295777	13.437953	14.511467	11.980763	8.578433	9.656970	10.159811	19.039768	12.018194	8.351145	14.506014	12.968507	7.615881	14.653009	10.275850	17.883442	15.207026	16.911314	16.245199	17.142927	13.729756	13.184229	10.894371	14.581940
39	12.384500	9.541020	14.169961	13.748187	7.005287	10.319328	8.666092	4.934905	11.982880	7.731881	10.476287	7.016442	15.357589	9.353299	11.048800	12.496325	6.734968	11.831874	5.176591	4.796334	5.918837	8.542027	15.087420	11.403352	13.043708	9.451744	8.015916	10.187070	15.921403	6.425842	8.982724	9.664350	14.425611	11.606005	12.617375	9.873200	12.169967	13.286178	8.456231	8.463314	7.658823	7.188118	17.624872	15.385581	14.437442	7.546189	7.408676	6.978140	6.744350	17.400761	15.784601	17.719400	13.508595	12.933237	7.113467	11.766283	16.201786	9.849517	15.250764	15.813147
40	6.828459	11.354928	13.479595	9.931979	8.488558	4.331861	4.831236	4.610018	6.209330	12.723372	3.762966	12.792955	12.162496	8.005336	12.707162	11.460150	7.973945	10.929958	12.519297	10.083873	11.237302	14.425467	12.067460	6.484118	9.992372	6.065460	11.538683	10.946568	14.587708	6.706306	17.807613	12.762698	18.642365	12.400307	7.879494	13.215060	12.734609	12.031699	9.041840	12.871285	9.689760	13.376918	14.104508	13.725850	13.042048	13.121011	18.800064	11.767781	8.622355	14.597256	10.110125	19.081675	7.526342	14.603988	17.095491	13.947003	8.408750	14.001690	11.011407	16.628653
41	15.003779	9.647829	6.641205	6.298976	15.397406	10.553920	11.119637	13.807658	5.518997	11.985743	12.177671	8.729253	7.514544	8.708429	8.221892	11.565201	10.568658	14.226474	13.842106	7.570617	11.370869	14.946816	11.164675	3.840715	13.801147	16.010963	8.594071	5.043339	12.412880	11.360193	7.397379	16.154636	10.099568	15.512915	15.485255	20.984484	17.577456	10.540822	9.918110	11.497426	13.122159	12.931678	18.130783	13.190821	17.732962	10.266313	10.450275	14.069232	8.563101	10.681850	11.625381	10.921590	8.940140	12.264581	18.483919	13.900121	18.898983	11.105942	17.394627	13.157352
